FOREST_TYPE_GROUP,DIAMETER_CLASS:_2_INCH_CLASS_TO_29,DISTURBANCE_1,ESTIMATE,VARIANCE,PLOT_COUNT,SE,SE_PERCENT
Exotic hardwoods group,9.0-10.9,Total,925305.7225336885,81054853846.5266,14,284701.34149056376,30.768354129594
Exotic hardwoods group,11.0-12.9,Total,646555.3550643346,49118182406.71777,10,221626.22229040897,34.27799654808464
Exotic hardwoods group,13.0-14.9,Total,228711.41017075168,8978438589.14288,4,94754.62304891978,41.429775181823125
Exotic hardwoods group,15.0-16.9,Total,161717.22745561678,8554146856.134251,2,92488.6309561032,57.19157594479949
Exotic hardwoods group,17.0-18.9,Total,209169.10542753118,14103563912.466562,2,118758.42670087273,56.776275090021755
Exotic hardwoods group,19.0-20.9,Total,83624.14012735189,6869980323.92744,1,82885.3444459721,99.11652821750435
Exotic hardwoods group,21.0-28.9,Total,239511.69232435554,30283032060.936813,1,174020.2058984439,72.65624663650213
Nonstocked,1.0-2.9,Total,48918.90779537334,287452006.3349975,6,16954.40964277428,34.65819333844121
Nonstocked,3.0-4.9,Total,12444.261254934652,163724470.2416523,1,12795.486322983284,102.8223858439918
Nonstocked,5.0-6.9,Total,206446.08210402253,2648209091.731352,16,51460.752926199515,24.92696998738385
Nonstocked,7.0-8.9,Total,272682.3635918777,5561824649.327127,12,74577.64175225123,27.34963888749007
Nonstocked,9.0-10.9,Total,200041.30961513438,3466729535.749967,7,58878.93966224228,29.43339042096919
Nonstocked,11.0-12.9,Total,203308.68612994294,5549992662.817248,4,74498.2728847941,36.642936562572245
Nonstocked,13.0-14.9,Total,117257.2917223969,3308043243.5483274,3,57515.59130834288,49.05075877456671
Nonstocked,17.0-18.9,Total,171251.5597089058,14442911046.305206,1,120178.66302428732,70.1766823196049
Nonstocked,19.0-20.9,Total,382553.02235634497,49491083577.53,2,222465.91554107788,58.15296247584021
Total,1.0-2.9,No visible disturbance,105067937.52359521,2695132622458.731,3625,1641685.9085887077,1.5624994144574624
Total,3.0-4.9,No visible disturbance,212737787.61329526,13249998089131.395,2699,3640054.68216226,1.7110522408830258
Total,5.0-6.9,No visible disturbance,316708643.81492096,16804316425593.014,4114,4099306.8225729354,1.2943463661725947
Total,7.0-8.9,No visible disturbance,405982843.2380124,27199250287326.023,3835,5215290.048245258,1.2846084841047656
Total,9.0-10.9,No visible disturbance,444143032.9982075,34259313802137.004,3511,5853145.63308799,1.3178515023811286
Total,11.0-12.9,No visible disturbance,448984904.02576864,42471540458773.47,3040,6517019.292496645,1.4515007596163219
Total,13.0-14.9,No visible disturbance,413311371.66820943,42081341308268.84,2484,6487013.281030712,1.5695220905361968
Total,15.0-16.9,No visible disturbance,342746585.9120594,42497840562867.76,1875,6519036.781831174,1.9019990423781503
Total,17.0-18.9,No visible disturbance,281956018.0844723,40094714856828.46,1338,6332038.759896251,2.245754072892039
Total,19.0-20.9,No visible disturbance,212242481.83358374,37381164353053.16,858,6114013.767816781,2.8806738947816726
Total,21.0-28.9,No visible disturbance,387800686.3615449,126744422277513.9,926,11258082.531120203,2.903058949365639
Total,29.0+,No visible disturbance,111114404.41434297,61245596342697.77,149,7825956.576847189,7.043152162040471
Total,1.0-2.9,Insect damage,237830.0725758628,5404847958.078745,12,73517.6710599482,30.91184822159006
Total,3.0-4.9,Insect damage,495748.50887695013,22275039056.148247,13,149248.24640895534,30.105636978527006
Total,5.0-6.9,Insect damage,1041048.9569989804,65639428199.3483,18,256201.928562898,24.60997889104546
Total,7.0-8.9,Insect damage,1560789.0832533324,149272900200.39542,18,386358.51252482506,24.754050157724933
Total,9.0-10.9,Insect damage,2219005.322389053,340475984810.7422,16,583503.2003431877,26.295709814475305
Total,11.0-12.9,Insect damage,1498975.6869166829,183595958237.27457,14,428480.9893534071,28.58491922806105
Total,13.0-14.9,Insect damage,1196990.0477756702,137255793235.24365,13,370480.4896823093,30.95100835389248
Total,15.0-16.9,Insect damage,837512.7771122436,69074102604.58626,9,262819.5247780999,31.38095703856668
Total,17.0-18.9,Insect damage,1209817.1691129478,160226368532.9915,7,400282.8606535527,33.08622747906982
Total,19.0-20.9,Insect damage,1032492.0441245346,225895306762.27768,5,475284.4482646973,46.03274678670265
Total,21.0-28.9,Insect damage,2973568.5619558273,994501099333.4731,9,997246.7595001115,33.53703601319302
