FOREST_TYPE_GROUP,DIAMETER_CLASS:_2_INCH_CLASS_TO_29,DISTURBANCE_1,ESTIMATE,VARIANCE,PLOT_COUNT,SE,SE_PERCENT
Total,11.0-12.9,Ground fire damage,54173529.96069962,6832379897989.526,388,2613882.1507461895,4.825017222696102
Total,13.0-14.9,Ground fire damage,58239152.42200912,9362006775162.611,335,3059739.658069394,5.253750322288499
Total,15.0-16.9,Ground fire damage,39545133.69676365,6437138939043.917,242,2537151.7374890917,6.415838057203814
Total,17.0-18.9,Ground fire damage,31581237.44348959,5071251845602.947,163,2251944.014757682,7.130638939614813
Total,19.0-20.9,Ground fire damage,20702727.41010533,3862939614952.16,95,1965436.2403680666,9.493610196542056
Total,21.0-28.9,Ground fire damage,28325442.356315564,7020377743460.951,89,2649599.5439803638,9.354132975754208
Total,29.0+,Ground fire damage,9508462.078546925,6270653007311.508,15,2504127.1947150584,26.335775165627386
Total,5.0-6.9,Crown fire damage,91824.4721698469,4184906363.197839,1,64690.85223737464,70.45055714310729
Total,7.0-8.9,Crown fire damage,432515.7935873986,47394842367.10597,2,217703.56535230647,50.33424642060268
Total,9.0-10.9,Crown fire damage,432051.6186471821,48531977439.1773,2,220299.74452817076,50.98921865354006
Total,11.0-12.9,Crown fire damage,45638.0389954962,1033767356.3542997,1,32152.252741515636,70.45055714310729
Total,1.0-2.9,Animal damage,104163.03954347472,2783363989.988838,4,52757.59651451948,50.64905627345864
Total,3.0-4.9,Animal damage,195313.93381855803,10033901050.146708,3,100169.36183358017,51.286336758049785
Total,5.0-6.9,Animal damage,490677.52097156475,30934111172.456818,8,175880.95739009615,35.84451087994484
Total,7.0-8.9,Animal damage,411070.9377395525,20450534702.514256,6,143005.3659920293,34.788488521812035
Total,9.0-10.9,Animal damage,828267.5578137224,71921004751.57794,8,268180.91794827225,32.37853703411455
Total,11.0-12.9,Animal damage,1181031.9041538888,174048511933.1062,7,417191.21746880794,35.324296998368624
Total,13.0-14.9,Animal damage,1015128.8649265878,152667431074.90054,5,390726.79851131345,38.490364328234335
Total,15.0-16.9,Animal damage,1377475.437013066,240064907472.6164,5,489964.1899900608,35.56972246652216
Total,17.0-18.9,Animal damage,500544.9020536003,65951602188.746994,2,256810.44018642817,51.30617435774582
Total,19.0-20.9,Animal damage,328034.72389811266,35722693323.19204,2,189004.47963789653,57.61721728477781
Total,21.0-28.9,Animal damage,1286340.5042219628,350685721430.5463,3,592187.235112803,46.036584649955095
Total,29.0+,Animal damage,5132499.356410513,9000907596724.768,3,3000151.262307414,58.45400172452457
Total,1.0-2.9,Beaver (includes flooding caused by beaver),645015.9366225649,19407858185.289284,23,139312.0891570049,21.598239864656897
Total,3.0-4.9,Beaver (includes flooding caused by beaver),1546334.709614751,173451391843.0129,16,416474.9594429573,26.933040877464144
Total,5.0-6.9,Beaver (includes flooding caused by beaver),2234601.405645339,203614509367.15582,29,451236.6445305122,20.193160327857125
Total,7.0-8.9,Beaver (includes flooding caused by beaver),2389204.944154672,227198329622.46573,28,476653.25932218874,19.950287667382764
Total,9.0-10.9,Beaver (includes flooding caused by beaver),2399182.5512757297,222605023312.5687,24,471810.3679578997,19.665463459919778
Total,11.0-12.9,Beaver (includes flooding caused by beaver),1859713.288723566,181728006354.13892,17,426295.67949269543,22.92265598560561
Total,13.0-14.9,Beaver (includes flooding caused by beaver),1423491.6892069457,151333330607.5586,12,389015.8487871138,27.32828380640859
Total,15.0-16.9,Beaver (includes flooding caused by beaver),1064069.6407991273,150700729412.82733,7,388201.9183528429,36.482754837484066
Total,17.0-18.9,Beaver (includes flooding caused by beaver),647234.1549160379,55431123218.801056,5,235438.15157871303,36.37603945812395
Total,19.0-20.9,Beaver (includes flooding caused by beaver),424295.2438440573,68814684977.57329,2,262325.5324545693,61.82617794108074
Total,21.0-28.9,Beaver (includes flooding caused by beaver),2775709.0019859904,871719438970.8143,8,933659.1663829014,33.636781294972856
Total,1.0-2.9,Domestic animal/livestock (includes grazing),479646.3230182213,6849433412.604155,33,82761.30383581542,17.25465199337542
Total,3.0-4.9,Domestic animal/livestock (includes grazing),1749477.6322273735,89305398270.77197,27,298840.0881253584,17.081675273829347
Total,5.0-6.9,Domestic animal/livestock (includes grazing),2923523.3637301917,143574859379.4072,54,378912.73319777363,12.96082452764496
Total,7.0-8.9,Domestic animal/livestock (includes grazing),4176954.3414515,371335164567.1166,50,609372.7632304521,14.588925648124127
Total,9.0-10.9,Domestic animal/livestock (includes grazing),4599427.385492206,413126245257.14355,51,642748.9753061794,13.974543381934398
Total,11.0-12.9,Domestic animal/livestock (includes grazing),5668663.868120939,614070485424.8324,50,783626.4961222486,13.823830700725722
Total,13.0-14.9,Domestic animal/livestock (includes grazing),5238088.2035325235,595669742709.3947,41,771796.4386477788,14.734315434537464
Total,15.0-16.9,Domestic animal/livestock (includes grazing),6891319.010083512,1240570334910.945,35,1113808.9310608644,16.1624926872652
Total,17.0-18.9,Domestic animal/livestock (includes grazing),4452918.388826738,673704283081.3131,24,820794.9092686388,18.43274090376723
Total,19.0-20.9,Domestic animal/livestock (includes grazing),6063026.836725442,1554516033537.7842,22,1246802.323360758,20.564024487052063
Total,21.0-28.9,Domestic animal/livestock (includes grazing),4482194.699562769,1175829351251.9956,15,1084356.6531598335,24.19253793829194
Total,29.0+,Domestic animal/livestock (includes grazing),2557194.4066139404,1382839833494.9124,3,1175942.1046526534,45.98563572684153
Total,1.0-2.9,Weather damage,11645.632434050083,65063585.208699524,1,8066.200171623534,69.26373657508864
Total,3.0-4.9,Weather damage,31878.05272115577,536450292.8329401,1,23161.39660799711,72.6562466365021
Total,5.0-6.9,Weather damage,39918.87850056258,841206424.1030583,1,29003.558817894373,72.65624663650213
Total,7.0-8.9,Weather damage,66256.073292501,1373253595.1511745,2,37057.43643523085,55.930625818456235
Total,9.0-10.9,Weather damage,94019.38045802241,2738557705.0983715,2,52331.23068587601,55.660046291456645
Total,11.0-12.9,Weather damage,58424.57540272441,1801926396.522709,1,42449.1036009326,72.65624663650212
Total,1.0-2.9,Ice,147302.87752956297,6912150237.035215,3,83139.3422937373,56.441084986307644
Total,3.0-4.9,Ice,266649.68124395993,22315792312.771713,4,149384.7124466614,56.02283556078513
Total,5.0-6.9,Ice,512746.4451521155,45285790957.344635,4,212804.5839669452,41.50288821677016
Total,7.0-8.9,Ice,523086.02663762635,48454396877.76517,4,220123.5945503461,42.08171951472127
Total,9.0-10.9,Ice,329770.7425058052,31723354756.313793,4,178110.51276191924,54.010404746195405
Total,11.0-12.9,Ice,252524.80399510704,24166165515.35386,2,155454.70567131077,61.56017278774837
Total,13.0-14.9,Ice,73379.60505631714,2834238771.84644,1,53237.569176723686,72.55090721170424
Total,1.0-2.9,"Wind (includes hurricane, tornado)",741018.4188965503,14621587309.290007,45,120919.75566171976,16.318049940213527
Total,3.0-4.9,"Wind (includes hurricane, tornado)",1881028.872849586,118569253001.86105,30,344338.8636239904,18.305878691928246
Total,5.0-6.9,"Wind (includes hurricane, tornado)",2903423.4965517423,197500354897.43576,58,444410.1201564111,15.306417430464961
Total,7.0-8.9,"Wind (includes hurricane, tornado)",5065353.260061837,721395283701.8016,55,849349.918291514,16.767831870449747
Total,9.0-10.9,"Wind (includes hurricane, tornado)",5476487.828644983,780091575588.6882,47,883227.9295791592,16.12763430166687
Total,11.0-12.9,"Wind (includes hurricane, tornado)",5303323.027732892,705841135978.702,40,840143.5210597663,15.841831935681991
Total,13.0-14.9,"Wind (includes hurricane, tornado)",6424279.298778014,832276828553.7654,48,912292.074148277,14.200691341701276
Total,15.0-16.9,"Wind (includes hurricane, tornado)",3697167.84745213,413859610851.62634,29,643319.2138057329,17.400324798590646
Total,17.0-18.9,"Wind (includes hurricane, tornado)",4687802.024985343,755622451357.8699,25,869265.4665623556,18.54313518210218
Total,19.0-20.9,"Wind (includes hurricane, tornado)",4270307.269399951,704277697516.9814,20,839212.5460912638,19.652275425350997
Total,21.0-28.9,"Wind (includes hurricane, tornado)",10416058.150945114,5917939363608.59,17,2432681.5170935527,23.355106911272575
Total,29.0+,"Wind (includes hurricane, tornado)",6173167.353390441,3663155729190.163,8,1913937.2323015619,31.0041364948641
Total,1.0-2.9,Flooding (weather induced),160596.51605377736,3716038778.8659587,7,60959.32068901325,37.95805923249319
Total,3.0-4.9,Flooding (weather induced),366822.9916512725,33403931067.870735,4,182767.42343172303,49.82441875003148
Total,5.0-6.9,Flooding (weather induced),475407.1791886833,41981182914.86165,8,204893.1011890387,43.098444903315006
Total,7.0-8.9,Flooding (weather induced),718820.2179291146,71260529793.54364,8,266946.6796825607,37.13677954852478
Total,9.0-10.9,Flooding (weather induced),840911.3988146131,77362826924.41205,9,278141.7389109589,33.07622411862179
Total,11.0-12.9,Flooding (weather induced),885084.9920282654,88194960685.99709,8,296976.36385072314,33.553428939086466
Total,13.0-14.9,Flooding (weather induced),709469.0954238873,68445858680.467575,7,261621.59444600053,36.8756857956849
Total,15.0-16.9,Flooding (weather induced),1153585.5794584374,267696000606.93878,4,517393.4678819774,44.850895945220906
Total,17.0-18.9,Flooding (weather induced),673876.9109114731,100008257503.0738,4,316240.82200606837,46.9285735845033
Total,21.0-28.9,Flooding (weather induced),1353162.6904447814,330141197784.53766,4,574579.1484073693,42.461941381084515
Total,29.0+,Flooding (weather induced),3455779.516266589,6140718833720.404,1,2478047.3832678027,71.70733467235006
Total,1.0-2.9,Drought,46621.206711462204,758394343.9014105,2,27538.96047241817,59.069600327714156
Total,3.0-4.9,Drought,208556.76662023147,12369564000.904606,3,111218.54162370862,53.32770709196431
Total,5.0-6.9,Drought,160481.62707447755,4652050677.003089,4,68205.94312083874,42.50077991120143
Total,7.0-8.9,Drought,317843.5793967847,20415540622.09393,4,142882.9612728331,44.95386112376461
Total,9.0-10.9,Drought,512224.52384144417,91481233563.84782,3,302458.6476922884,59.04806068713581
Total,11.0-12.9,Drought,944372.8859809774,218572897696.9896,3,467517.8046844736,49.5056361342728
Total,13.0-14.9,Drought,733654.5968053903,187571745779.76318,3,433095.5388592258,59.03262117419936
Total,15.0-16.9,Drought,968269.3574976771,171876615686.6987,4,414580.0473813214,42.81660306309094
Total,17.0-18.9,Drought,61883.05911684495,1925313996.7427113,1,43878.4001160333,70.905350740958
Total,19.0-20.9,Drought,268077.7964635419,37827477790.72525,1,194492.87336744566,72.55090721170424
Total,21.0-28.9,Drought,196560.65924662043,20395723594.49141,1,142813.59737255907,72.65624663650213
Total,1.0-2.9,"Vegetation (suppression,competetion,vines)",772607.4738643134,80338728148.94432,8,283440.87240365375,36.686271100379244
Total,3.0-4.9,"Vegetation (suppression,competetion,vines)",1690685.5989996397,502553230705.52454,4,708909.8889883851,41.93032042195423
Total,5.0-6.9,"Vegetation (suppression,competetion,vines)",1509630.0146018865,230599984543.33636,8,480208.27204801084,31.809666435033712
Total,7.0-8.9,"Vegetation (suppression,competetion,vines)",1418246.744907363,168177978065.72787,8,410095.08417649666,28.91563725769617
Total,9.0-10.9,"Vegetation (suppression,competetion,vines)",1498807.0693341224,208214837360.70038,7,456305.6402902559,30.444588207939237
Total,11.0-12.9,"Vegetation (suppression,competetion,vines)",2002934.7479338944,511581935967.8278,7,715249.5620186201,35.71007806202513
Total,13.0-14.9,"Vegetation (suppression,competetion,vines)",656560.0095958683,103488714318.76921,3,321696.61844472226,48.99729099290343
Total,15.0-16.9,"Vegetation (suppression,competetion,vines)",669601.3970654554,87863631706.30493,3,296418.00165695895,44.2678290332156
Total,17.0-18.9,"Vegetation (suppression,competetion,vines)",337211.76391492947,29974010467.003956,2,173130.03918154686,51.34163683127717
Total,19.0-20.9,"Vegetation (suppression,competetion,vines)",230159.07495715065,27299871556.735107,1,165226.72773112438,71.78805691754067
Total,21.0-28.9,"Vegetation (suppression,competetion,vines)",824403.0806472312,213845948946.38565,2,462434.805076765,56.093289306210714
Total,1.0-2.9,Unknown/not sure/other,13909.389084497498,102132045.26710624,1,10106.040038863206,72.65624663650212
Total,5.0-6.9,Unknown/not sure/other,5462.240039946126,14155976.44040435,1,3762.4428820122107,68.8809509376545
Total,7.0-8.9,Unknown/not sure/other,7238.54744675807,24859999.70555897,1,4985.980315400269,68.8809509376545
Total,11.0-12.9,Unknown/not sure/other,272088.61496518634,35125216369.555176,1,187417.2253811137,68.88095093765452
Total,13.0-14.9,Unknown/not sure/other,460439.5911661,100587401152.79341,1,317155.16888865834,68.8809509376545
Total,15.0-16.9,Unknown/not sure/other,381155.24788250745,68929015507.40689,1,262543.3592902454,68.88095093765452
Total,17.0-18.9,Unknown/not sure/other,181236.17306828313,15584326367.12997,1,124837.19945244674,68.88095093765453
Total,19.0-20.9,Unknown/not sure/other,349935.9654057828,58099905888.84286,1,241039.22064436498,68.88095093765453
Total,21.0-28.9,Unknown/not sure/other,598571.1070561004,169992502641.01892,1,412301.470578288,68.88095093765452
Total,1.0-2.9,Human-caused damage,376966.3806803551,6637758953.258677,28,81472.44290714915,21.612654889835625
Total,3.0-4.9,Human-caused damage,925137.8204692387,49881080311.038574,17,223340.72694212888,24.14134651082023
Total,5.0-6.9,Human-caused damage,4137595.591543819,516869139922.6487,42,718936.1167187587,17.3756980548819
Total,7.0-8.9,Human-caused damage,7522994.027802718,1714009379724.9282,36,1309201.8101595065,17.402669805679643
Total,9.0-10.9,Human-caused damage,4275778.449450189,681697177457.9099,35,825649.5488146953,19.309923527980345
Total,11.0-12.9,Human-caused damage,2218365.251290807,258956308738.31903,20,508877.4987541884,22.93930174294275
Total,13.0-14.9,Human-caused damage,2319236.676718578,249834840457.65286,17,499834.81317096436,21.55169492568419
Total,15.0-16.9,Human-caused damage,1863061.2047983843,203536149171.6388,14,451149.8079038035,24.215511908135394
Total,17.0-18.9,Human-caused damage,1764855.9637197773,294903690662.50183,9,543050.3573910083,30.77023669662107
Total,19.0-20.9,Human-caused damage,1326561.5942075783,180586198007.32068,7,424954.3481449751,32.034271910217754
Total,21.0-28.9,Human-caused damage,2520602.7754496257,809289945207.352,6,899605.4386270416,35.69009156813968
Total,29.0+,Human-caused damage,1216492.6962992412,368432933962.4677,2,606986.7658874184,49.89645788535895
White / red / jack pine group,1.0-2.9,No visible disturbance,218948.17483122819,5043280754.08576,12,71016.05983216585,32.435100172407076
White / red / jack pine group,3.0-4.9,No visible disturbance,340788.21964295843,11456200955.96547,10,107033.64403758974,31.40767135370119
White / red / jack pine group,5.0-6.9,No visible disturbance,804957.0922630614,35236968810.43376,20,187715.12674910823,23.319892271694226
White / red / jack pine group,7.0-8.9,No visible disturbance,1027838.329379344,64062337912.11549,18,253105.38894325323,24.625019490768544
White / red / jack pine group,9.0-10.9,No visible disturbance,874588.3577297335,36275305531.8053,16,190460.7716350149,21.777190372098616
White / red / jack pine group,11.0-12.9,No visible disturbance,1548148.9717354006,105577682558.56017,20,324927.1957817015,20.988109136388452
White / red / jack pine group,13.0-14.9,No visible disturbance,905345.3294278675,66518961377.307045,13,257912.70107791715,28.487770654420334
White / red / jack pine group,15.0-16.9,No visible disturbance,1111092.1475629173,79798932668.44496,12,282487.0486738197,25.424268301547276
White / red / jack pine group,17.0-18.9,No visible disturbance,1000778.9190873379,130582340197.73846,8,361361.78574627737,36.10805332268808
White / red / jack pine group,19.0-20.9,No visible disturbance,703251.1051614125,68414562349.737755,6,261561.77539873397,37.19322635670789
White / red / jack pine group,21.0-28.9,No visible disturbance,1774681.7079020536,357222850307.81805,9,597681.2280035387,33.6782210208325
White / red / jack pine group,29.0+,No visible disturbance,422112.69677691534,95850549465.30493,2,309597.39899634966,73.34472555796408
White / red / jack pine group,1.0-2.9,Insect damage,2890.4041937226125,8374889.414107987,1,2893.9401193023996,100.12233325662434
White / red / jack pine group,3.0-4.9,Insect damage,15738.427733227405,248304512.5278208,1,15757.681064414928,100.12233325662432
White / red / jack pine group,5.0-6.9,Insect damage,11289.593811801858,127766958.70656727,1,11303.404739571492,100.1223332566243
White / red / jack pine group,7.0-8.9,Insect damage,17336.897392580926,301303850.2866486,1,17358.10618375889,100.12233325662434
White / red / jack pine group,9.0-10.9,Insect damage,39542.09196658809,1567404926.472319,1,39590.465095428204,100.12233325662434
White / red / jack pine group,11.0-12.9,Insect damage,28685.36721086258,824864762.5712652,1,28720.45895474627,100.12233325662432
White / red / jack pine group,13.0-14.9,Insect damage,37643.251099906345,1420483433.6035235,1,37689.30131487613,100.12233325662432
White / red / jack pine group,15.0-16.9,Insect damage,46287.07954560892,2147738903.9073625,1,46343.70403741335,100.12233325662432
White / red / jack pine group,17.0-18.9,Insect damage,107390.2712091588,11560904191.939507,1,107521.64522522666,100.12233325662432
White / red / jack pine group,19.0-20.9,Insect damage,35300.5240353169,1249177717.5247028,1,35343.70831597475,100.12233325662432
White / red / jack pine group,21.0-28.9,Insect damage,210156.00991428836,44273672906.297485,1,210413.10060520825,100.12233325662432
White / red / jack pine group,1.0-2.9,Insect damage to trees including seedlings and saplings,45717.44302784139,218668414.67750078,7,14787.441113238652,32.34529346760113
White / red / jack pine group,3.0-4.9,Insect damage to trees including seedlings and saplings,130458.41677143471,3192496747.270981,4,56502.18356197379,43.310493075327244
White / red / jack pine group,5.0-6.9,Insect damage to trees including seedlings and saplings,356701.43394599477,7416904146.288053,14,86121.44997785425,24.143847425882004
White / red / jack pine group,7.0-8.9,Insect damage to trees including seedlings and saplings,909901.4368912076,83908896888.97183,14,289670.32448798034,31.83535191214505
White / red / jack pine group,9.0-10.9,Insect damage to trees including seedlings and saplings,796732.6750215661,74391058668.34854,13,272747.2431911064,34.23321921417666
White / red / jack pine group,11.0-12.9,Insect damage to trees including seedlings and saplings,986834.06517552,109003935741.4478,11,330157.4408391363,33.45622658257282
White / red / jack pine group,13.0-14.9,Insect damage to trees including seedlings and saplings,810872.113091805,48300997369.39045,12,219774.87884057735,27.10351919769313
White / red / jack pine group,15.0-16.9,Insect damage to trees including seedlings and saplings,1262546.4692735753,156791300715.96713,11,395968.81280723,31.362711982795886
White / red / jack pine group,17.0-18.9,Insect damage to trees including seedlings and saplings,325894.3968620734,31315733007.020355,3,176962.51865019428,54.300571091159085
White / red / jack pine group,19.0-20.9,Insect damage to trees including seedlings and saplings,1011510.542583099,80301881243.28139,9,283375.8656683405,28.01511736542877
White / red / jack pine group,21.0-28.9,Insect damage to trees including seedlings and saplings,3766741.569938926,1421725086426.814,10,1192361.1392639454,31.654975981887667
White / red / jack pine group,29.0+,Insect damage to trees including seedlings and saplings,1898509.909363234,410219272899.5064,7,640483.6242243095,33.73612226438837
White / red / jack pine group,1.0-2.9,Ground fire damage,29900.428992925295,234148324.1752292,2,15301.905900090655,51.17620855443653
White / red / jack pine group,3.0-4.9,Ground fire damage,19572.780055205178,191620131.5894102,1,13842.692353346953,70.72420123407882
White / red / jack pine group,5.0-6.9,Ground fire damage,97282.26768703926,1454346790.872054,5,38135.898978155135,39.2012849667935
White / red / jack pine group,7.0-8.9,Ground fire damage,137653.51672963452,2922040776.9583597,5,54055.904182229344,39.26954099429267
White / red / jack pine group,9.0-10.9,Ground fire damage,206926.18309691572,7593829313.958191,3,87142.5803723885,42.11288251113901
White / red / jack pine group,11.0-12.9,Ground fire damage,452196.34553080844,36735408515.7208,4,191664.8338003631,42.38531241896223
White / red / jack pine group,13.0-14.9,Ground fire damage,471460.04932417895,37058132080.06508,5,192504.8884575794,40.83164389719304
White / red / jack pine group,15.0-16.9,Ground fire damage,214431.76487005432,5653334803.322422,5,75188.6614013205,35.06414334036976
White / red / jack pine group,17.0-18.9,Ground fire damage,86726.5169401475,1900400616.5608013,2,43593.58458031183,50.26557749390194
White / red / jack pine group,19.0-20.9,Ground fire damage,261837.16193712747,15501329597.311468,3,124504.33565668092,47.55029222573723
White / red / jack pine group,21.0-28.9,Ground fire damage,210846.95179482046,17496092753.250908,2,132272.79672423544,62.73403319245177
White / red / jack pine group,29.0+,Ground fire damage,75081.6722228981,5650428393.147421,1,75169.33146667875,100.11675185326243
Longleaf / slash pine group,1.0-2.9,No visible disturbance,8510074.428531617,214897385714.9306,396,463570.2597394818,5.447311461639815
Longleaf / slash pine group,3.0-4.9,No visible disturbance,20952187.77671789,1334528426134.586,296,1155217.9128348841,5.513590872446096
Longleaf / slash pine group,5.0-6.9,No visible disturbance,47398381.848196805,5115255534682.5,510,2261693.0681864196,4.771667259506797
Longleaf / slash pine group,7.0-8.9,No visible disturbance,60051430.277537495,7991725276611.277,465,2826963.9680426205,4.707571418328165
Longleaf / slash pine group,9.0-10.9,No visible disturbance,54311905.06247231,7388448736337.588,394,2718170.108057549,5.004740866539246
Longleaf / slash pine group,11.0-12.9,No visible disturbance,47492066.88070267,7663767938700.746,290,2768351.122726441,5.829081159344737
Longleaf / slash pine group,13.0-14.9,No visible disturbance,34348620.25976197,5837103497615.8,182,2416009.8297845977,7.033790037310047
Longleaf / slash pine group,15.0-16.9,No visible disturbance,23772733.975352265,4365190874176.5415,122,2089303.920969025,8.788656463052293
Longleaf / slash pine group,17.0-18.9,No visible disturbance,15423919.446654318,2689723020880.709,74,1640037.5059371993,10.633078781366097
Longleaf / slash pine group,19.0-20.9,No visible disturbance,7464055.9963021865,1296386172381.297,31,1138589.5539575694,15.254300805375054
Longleaf / slash pine group,21.0-28.9,No visible disturbance,10039641.136121219,4374929612964.6597,24,2091633.2405478403,20.833745073042877
Longleaf / slash pine group,29.0+,No visible disturbance,1104916.5405953717,438334463303.30444,2,662068.3222321579,59.92021097588148
Longleaf / slash pine group,1.0-2.9,Insect damage,25654.371704052264,247739348.70851642,3,15739.73788563572,61.353043712037326
Longleaf / slash pine group,3.0-4.9,Insect damage,55597.77357666542,1336624311.063019,2,36559.87296289497,65.75780037753036
Longleaf / slash pine group,5.0-6.9,Insect damage,160893.355542291,6175033505.6741085,3,78581.38141871845,48.84066290609697
Longleaf / slash pine group,7.0-8.9,Insect damage,386385.2918287738,42873393356.97533,3,207058.91276874638,53.588714981548605
Longleaf / slash pine group,9.0-10.9,Insect damage,672947.7364660506,161651726584.26648,2,402059.35704105493,59.746000358430265
Longleaf / slash pine group,11.0-12.9,Insect damage,431397.08861994644,49036805251.81627,3,221442.55519618688,51.33149041515067
Longleaf / slash pine group,13.0-14.9,Insect damage,173054.47730611102,6308529173.801896,3,79426.24990393224,45.89667435384377
Longleaf / slash pine group,15.0-16.9,Insect damage,164027.76829496844,8058142160.6505995,2,89767.15524427962,54.72680399019563
Longleaf / slash pine group,17.0-18.9,Insect damage,179140.51255141036,15804228136.55656,1,125714.86839891518,70.1766823196049
Longleaf / slash pine group,21.0-28.9,Insect damage,299336.3793915339,44127026953.33348,1,210064.340032604,70.1766823196049
Longleaf / slash pine group,1.0-2.9,Insect damage to trees including seedlings and saplings,84276.9837117778,1491018043.6419501,3,38613.70279631248,45.817613654006664
Longleaf / slash pine group,3.0-4.9,Insect damage to trees including seedlings and saplings,295419.9090010887,33040538064.948776,3,181770.56435228663,61.529558033821196
Longleaf / slash pine group,5.0-6.9,Insect damage to trees including seedlings and saplings,241004.99163631385,17221077142.804966,3,131229.10173740034,54.4507816400045
Longleaf / slash pine group,7.0-8.9,Insect damage to trees including seedlings and saplings,518170.34928228776,59341155076.84227,3,243600.4004036986,47.01164409370527
Longleaf / slash pine group,9.0-10.9,Insect damage to trees including seedlings and saplings,995894.4380696258,247002524200.99185,3,496993.4850689613,49.9042334278219
Longleaf / slash pine group,11.0-12.9,Insect damage to trees including seedlings and saplings,1097948.1673348604,418697744043.5732,3,647068.57754304,58.934346519628754
Longleaf / slash pine group,13.0-14.9,Insect damage to trees including seedlings and saplings,510108.12106122175,77034438050.26018,3,277550.784632759,54.41018740406373
Longleaf / slash pine group,15.0-16.9,Insect damage to trees including seedlings and saplings,174931.56357748964,10606842010.610573,2,102989.52379058063,58.87418009898438
Longleaf / slash pine group,21.0-28.9,Insect damage to trees including seedlings and saplings,101879.55891473217,10973608592.677153,1,104754.99316346287,102.82238584399181
Longleaf / slash pine group,1.0-2.9,Disease damage,13887.724800423468,64127291.086623326,2,8007.951741027373,57.66208544673346
Longleaf / slash pine group,5.0-6.9,Disease damage,169029.77261925148,11066318127.627815,3,105196.56899171101,62.23552653571384
Longleaf / slash pine group,7.0-8.9,Disease damage,624319.9532592946,92629267706.15242,3,304350.56711981405,48.74913344206543
Longleaf / slash pine group,9.0-10.9,Disease damage,467481.67455657886,69303097778.84921,3,263254.8153004028,56.3133978567413
Longleaf / slash pine group,11.0-12.9,Disease damage,55122.95921406211,1604024383.3872237,1,40050.27319990743,72.6562466365021
Longleaf / slash pine group,1.0-2.9,Disease damage to understory vegetation,23141.303282405264,282697225.253868,1,16813.602387765328,72.6562466365021
Longleaf / slash pine group,3.0-4.9,Disease damage to understory vegetation,39826.496309233524,837317408.5426303,1,28936.437385114124,72.65624663650212
Longleaf / slash pine group,5.0-6.9,Disease damage to understory vegetation,78382.142301983,3243248127.773815,1,56949.522629902836,72.65624663650213
Longleaf / slash pine group,7.0-8.9,Disease damage to understory vegetation,29318.80570605856,453772809.00527346,1,21301.943784670766,72.65624663650213
Longleaf / slash pine group,9.0-10.9,Disease damage to understory vegetation,182706.98935576217,17622042338.48197,1,132748.04080845026,72.65624663650213
Longleaf / slash pine group,11.0-12.9,Disease damage to understory vegetation,119875.39353472926,7585880717.002844,1,87096.96158307041,72.65624663650213
Longleaf / slash pine group,13.0-14.9,Disease damage to understory vegetation,78686.88610798043,3268516156.510477,1,57170.93804119779,72.65624663650212
Longleaf / slash pine group,1.0-2.9,"Disease damage to trees, including seedlings and saplings",751538.3505239188,44297161583.79923,32,210468.9088293072,28.005079006624662
Longleaf / slash pine group,3.0-4.9,"Disease damage to trees, including seedlings and saplings",1485858.104609354,130988008182.23828,20,361922.65497235494,24.35782083427864
Longleaf / slash pine group,5.0-6.9,"Disease damage to trees, including seedlings and saplings",4001058.0801296895,422136480160.1618,45,649720.3091793897,16.238712264789964
Longleaf / slash pine group,7.0-8.9,"Disease damage to trees, including seedlings and saplings",7445307.166012917,1394954893849.3577,43,1181082.085991214,15.863443369841553
Longleaf / slash pine group,9.0-10.9,"Disease damage to trees, including seedlings and saplings",8594782.462344795,1984378502016.0986,40,1408679.7017122447,16.389940151294233
Longleaf / slash pine group,11.0-12.9,"Disease damage to trees, including seedlings and saplings",5541348.435426384,1340793360298.9663,25,1157926.3190285324,20.896110983128146
Longleaf / slash pine group,13.0-14.9,"Disease damage to trees, including seedlings and saplings",3215014.4513048083,568431328929.962,17,753943.8499848394,23.45071418509029
Longleaf / slash pine group,15.0-16.9,"Disease damage to trees, including seedlings and saplings",797719.0105468454,84173844110.1631,6,290127.28949577134,36.369609556739256
Longleaf / slash pine group,19.0-20.9,"Disease damage to trees, including seedlings and saplings",76047.56085626723,6097444799.402722,1,78086.1370500726,102.68065953838857
Longleaf / slash pine group,1.0-2.9,"Fire (from crown and ground fire, either prescribed or natural)",22878.163850212757,124008832.73093325,3,11135.925319924396,48.67490849717311
Longleaf / slash pine group,5.0-6.9,"Fire (from crown and ground fire, either prescribed or natural)",36651.50768793083,423779696.83898294,3,20585.910153281613,56.16661210381928
Longleaf / slash pine group,7.0-8.9,"Fire (from crown and ground fire, either prescribed or natural)",147584.7261976984,11255123455.65657,2,106090.16663035538,71.88424531698584
Longleaf / slash pine group,9.0-10.9,"Fire (from crown and ground fire, either prescribed or natural)",260237.16456924574,65410864951.503685,1,255755.47882988487,98.27784561564098
Longleaf / slash pine group,11.0-12.9,"Fire (from crown and ground fire, either prescribed or natural)",161428.06528072394,18719580524.32054,2,136819.5180678566,84.75571941590641
Longleaf / slash pine group,13.0-14.9,"Fire (from crown and ground fire, either prescribed or natural)",164069.04236312647,25808237472.827682,1,160649.42412852801,97.91574438093569
