STATENM,STATECD,COUNTYNM,COUNTYCD,SPGRPCD,SPGRPNM,SPCLASS,UNITCD,RESERVCD,EVALID,'`0001 1.0-1.9','`0002 2.0-2.9','`0003 3.0-3.9','`0004 4.0-4.9'
Georgia,13,Bacon,5,8,Cypress,Softwood,1,0,132101,625217.29,,16588677.87,
Georgia,13,Conecuh,5,8,Cypress,Softwood,1,0,132101,625217.29,,16588677.87,
Georgia,13,Bacon,5,28,Other red oaks,Hardwood,1,0,132101,693815.8321,,,
Georgia,13,Conecuh,5,28,Other red oaks,Hardwood,1,0,132101,693815.8321,,,
Georgia,13,Bacon,5,29,Hickory,Hardwood,1,0,132101,,4417481.999,,
Georgia,13,Conecuh,5,29,Hickory,Hardwood,1,0,132101,,4417481.999,,
Georgia,13,Bacon,5,32,Soft maple,Hardwood,1,0,132101,15470955.2,31527248.36,63902144.86,20884762
Georgia,13,Conecuh,5,32,Soft maple,Hardwood,1,0,132101,15470955.2,31527248.36,63902144.86,20884762
Georgia,13,Bacon,5,34,Sweetgum,Hardwood,1,0,132101,1000915.943,,,
Georgia,13,Conecuh,5,34,Sweetgum,Hardwood,1,0,132101,1000915.943,,,
Georgia,13,Bacon,5,35,Tupelo and blackgum,Hardwood,1,0,132101,9442436.279,,,
Georgia,13,Conecuh,5,35,Tupelo and blackgum,Hardwood,1,0,132101,9442436.279,,,
Georgia,13,Bacon,5,41,Other eastern soft hardwoods,Hardwood,1,0,132101,1078983.289,,,
Georgia,13,Conecuh,5,41,Other eastern soft hardwoods,Hardwood,1,0,132101,1078983.289,,,
Georgia,13,Bacon,5,43,Eastern noncommercial hardwoods,Hardwood,1,0,132101,959353.5059,19652137.63,31927246.35,19208258.76
Georgia,13,Conecuh,5,43,Eastern noncommercial hardwoods,Hardwood,1,0,132101,959353.5059,19652137.63,31927246.35,19208258.76
Georgia,13,Baker,7,1,Longleaf and slash pines,Softwood,2,0,132101,1596572.77,,,
Georgia,13,Coosa,7,1,Longleaf and slash pines,Softwood,2,0,132101,1596572.77,,,
Georgia,13,Baker,7,27,Other white oaks,Hardwood,2,0,132101,3221198.775,10434571.7,38726929.45,
Georgia,13,Coosa,7,27,Other white oaks,Hardwood,2,0,132101,3221198.775,10434571.7,38726929.45,
Georgia,13,Baker,7,28,Other red oaks,Hardwood,2,0,132101,12648907.64,16464474.16,41306424.2,68107749.01
Georgia,13,Coosa,7,28,Other red oaks,Hardwood,2,0,132101,12648907.64,16464474.16,41306424.2,68107749.01
Georgia,13,Baker,7,34,Sweetgum,Hardwood,2,0,132101,1445096.381,,,
Georgia,13,Coosa,7,34,Sweetgum,Hardwood,2,0,132101,1445096.381,,,
Georgia,13,Baker,7,35,Tupelo and blackgum,Hardwood,2,0,132101,,4900084.201,17573889.61,22611257.72
Georgia,13,Coosa,7,35,Tupelo and blackgum,Hardwood,2,0,132101,,4900084.201,17573889.61,22611257.72
Georgia,13,Baker,7,36,Ash,Hardwood,2,0,132101,,5289296.684,,
Georgia,13,Coosa,7,36,Ash,Hardwood,2,0,132101,,5289296.684,,
Georgia,13,Baker,7,41,Other eastern soft hardwoods,Hardwood,2,0,132101,843745.3149,,,
Georgia,13,Coosa,7,41,Other eastern soft hardwoods,Hardwood,2,0,132101,843745.3149,,,
Georgia,13,Baker,7,42,Other eastern hard hardwoods,Hardwood,2,0,132101,4644697.409,6514168.23,,
Georgia,13,Coosa,7,42,Other eastern hard hardwoods,Hardwood,2,0,132101,4644697.409,6514168.23,,
Georgia,13,Baker,7,43,Eastern noncommercial hardwoods,Hardwood,2,0,132101,3144227.028,,4036060.316,
Georgia,13,Coosa,7,43,Eastern noncommercial hardwoods,Hardwood,2,0,132101,3144227.028,,4036060.316,
Georgia,13,Baldwin,9,1,Longleaf and slash pines,Softwood,3,0,132101,1287489.873,4884894.851,,21005752.31
Georgia,13,Covington,9,1,Longleaf and slash pines,Softwood,3,0,132101,1287489.873,4884894.851,,21005752.31
Georgia,13,Baldwin,9,2,Loblolly and shortleaf pines,Softwood,3,0,132101,3627658.343,12050269.13,58593422.51,96123489.11
Georgia,13,Covington,9,2,Loblolly and shortleaf pines,Softwood,3,0,132101,3627658.343,12050269.13,58593422.51,96123489.11
Georgia,13,Baldwin,9,25,Select white oaks,Hardwood,3,0,132101,5779999.778,8716355.742,10174336.28,
Georgia,13,Covington,9,25,Select white oaks,Hardwood,3,0,132101,5779999.778,8716355.742,10174336.28,
Georgia,13,Baldwin,9,26,Select red oaks,Hardwood,3,0,132101,,,,38877062.37
Georgia,13,Covington,9,26,Select red oaks,Hardwood,3,0,132101,,,,38877062.37
Georgia,13,Baldwin,9,27,Other white oaks,Hardwood,3,0,132101,1232361.591,14684892.88,,
Georgia,13,Covington,9,27,Other white oaks,Hardwood,3,0,132101,1232361.591,14684892.88,,
Georgia,13,Baldwin,9,28,Other red oaks,Hardwood,3,0,132101,20079605.97,37306164.8,68171311.52,27923650.9
Georgia,13,Covington,9,28,Other red oaks,Hardwood,3,0,132101,20079605.97,37306164.8,68171311.52,27923650.9
Georgia,13,Baldwin,9,29,Hickory,Hardwood,3,0,132101,1413212.693,4334004.492,,
Georgia,13,Covington,9,29,Hickory,Hardwood,3,0,132101,1413212.693,4334004.492,,
Georgia,13,Baldwin,9,31,Hard maple,Hardwood,3,0,132101,2513286.193,,,
Georgia,13,Covington,9,31,Hard maple,Hardwood,3,0,132101,2513286.193,,,
Georgia,13,Baldwin,9,32,Soft maple,Hardwood,3,0,132101,5909987.904,6556120.697,,
Georgia,13,Covington,9,32,Soft maple,Hardwood,3,0,132101,5909987.904,6556120.697,,
Georgia,13,Baldwin,9,33,Beech,Hardwood,3,0,132101,315058.9323,,,
Georgia,13,Covington,9,33,Beech,Hardwood,3,0,132101,315058.9323,,,
Georgia,13,Baldwin,9,34,Sweetgum,Hardwood,3,0,132101,18554984.1,49943262.55,57599162.44,22820701.3
Georgia,13,Covington,9,34,Sweetgum,Hardwood,3,0,132101,18554984.1,49943262.55,57599162.44,22820701.3
Georgia,13,Baldwin,9,35,Tupelo and blackgum,Hardwood,3,0,132101,2676583.403,,,
Georgia,13,Covington,9,35,Tupelo and blackgum,Hardwood,3,0,132101,2676583.403,,,
Georgia,13,Baldwin,9,36,Ash,Hardwood,3,0,132101,,5991538.637,,
Georgia,13,Covington,9,36,Ash,Hardwood,3,0,132101,,5991538.637,,
Georgia,13,Baldwin,9,41,Other eastern soft hardwoods,Hardwood,3,0,132101,15332321.97,9197934.579,50503731.27,
Georgia,13,Covington,9,41,Other eastern soft hardwoods,Hardwood,3,0,132101,15332321.97,9197934.579,50503731.27,
Georgia,13,Baldwin,9,42,Other eastern hard hardwoods,Hardwood,3,0,132101,1606749.601,12390931.02,,12976259.55
Georgia,13,Covington,9,42,Other eastern hard hardwoods,Hardwood,3,0,132101,1606749.601,12390931.02,,12976259.55
Georgia,13,Baldwin,9,43,Eastern noncommercial hardwoods,Hardwood,3,0,132101,9053774.797,,11889730.88,
Georgia,13,Covington,9,43,Eastern noncommercial hardwoods,Hardwood,3,0,132101,9053774.797,,11889730.88,
Georgia,13,Banks,11,1,Longleaf and slash pines,Softwood,4,0,132101,1435520.103,,,
Georgia,13,Banks,11,3,Other yellow pines,Softwood,4,0,132101,,13788051.65,9732754.766,
Georgia,13,Banks,11,25,Select white oaks,Hardwood,4,0,132101,3400578.172,,,
Georgia,13,Banks,11,28,Other red oaks,Hardwood,4,0,132101,2831743.783,,,
Georgia,13,Banks,11,29,Hickory,Hardwood,4,0,132101,802042.1081,,11766211.68,
Georgia,13,Banks,11,31,Hard maple,Hardwood,4,0,132101,1070316.939,2919555.92,,
Georgia,13,Banks,11,32,Soft maple,Hardwood,4,0,132101,13870902.83,33653602.18,31749487.58,39480142.63
Georgia,13,Banks,11,33,Beech,Hardwood,4,0,132101,959641.9541,7894984.191,,
Georgia,13,Banks,11,34,Sweetgum,Hardwood,4,0,132101,12600392.25,25561574.91,61565867.07,24290033.34
Georgia,13,Banks,11,36,Ash,Hardwood,4,0,132101,,5809799.052,,
Georgia,13,Banks,11,39,Yellow-poplar,Hardwood,4,0,132101,19641621.04,50740619.93,26016708.78,63379138.3
Georgia,13,Banks,11,41,Other eastern soft hardwoods,Hardwood,4,0,132101,2449641.336,6883347.299,11758120.34,33773469.13
Georgia,13,Banks,11,42,Other eastern hard hardwoods,Hardwood,4,0,132101,2361934.574,,5649942.164,
Georgia,13,Banks,11,43,Eastern noncommercial hardwoods,Hardwood,4,0,132101,16693498.92,38979325.54,17128229.16,26431637.95
Georgia,13,Banks,11,55,Urban-specific hardwoods,Hardwood,4,0,132101,1203508.474,,,
Georgia,13,Barrow,13,28,Other red oaks,Hardwood,4,0,132101,3372004.49,,13005531.02,
Georgia,13,Barrow,13,29,Hickory,Hardwood,4,0,132101,,,28468673.13,
Georgia,13,Barrow,13,34,Sweetgum,Hardwood,4,0,132101,675183.7148,,,
Georgia,13,Barrow,13,35,Tupelo and blackgum,Hardwood,4,0,132101,667733.9491,10288391.06,,
Georgia,13,Barrow,13,41,Other eastern soft hardwoods,Hardwood,4,0,132101,3826992.553,8838124.283,,
Georgia,13,Barrow,13,42,Other eastern hard hardwoods,Hardwood,4,0,132101,,,10910583.35,36497319.86
Georgia,13,Bartow,15,2,Loblolly and shortleaf pines,Softwood,5,0,132101,5682479.1,42038423.23,94218638.22,29568188.55
Georgia,13,Bartow,15,3,Other yellow pines,Softwood,5,0,132101,22327662.27,48237387.46,10434506.97,132867956.8
Georgia,13,Bartow,15,9,Other eastern softwoods,Softwood,5,0,132101,1197108.246,,,
Georgia,13,Bartow,15,25,Select white oaks,Hardwood,5,0,132101,,5104510.783,21965387.03,
Georgia,13,Bartow,15,26,Select red oaks,Hardwood,5,0,132101,,4509695.668,,
Georgia,13,Bartow,15,27,Other white oaks,Hardwood,5,0,132101,,4131585.843,29703767.82,35861486.65
Georgia,13,Bartow,15,28,Other red oaks,Hardwood,5,0,132101,6881192.572,8846189.115,,
Georgia,13,Bartow,15,29,Hickory,Hardwood,5,0,132101,18740512.96,19360189.95,10950239.3,21236842.68
Georgia,13,Bartow,15,31,Hard maple,Hardwood,5,0,132101,,6951629.349,13421457.92,
Georgia,13,Bartow,15,32,Soft maple,Hardwood,5,0,132101,23326344.51,32380179.37,,
