STATENM,STATECD,COUNTYNM,COUNTYCD,SPGRPCD,SPGRPNM,SPCLASS,UNITCD,RESERVCD,EVALID,'`0003 5.0-6.9','`0004 7.0-8.9','`0005 9.0-10.9','`0006 11.0-12.9','`0007 13.0-14.9','`0008 15.0-16.9','`0009 17.0-18.9','`0010 19.0-20.9','`0011 21.0-22.9','`0012 23.0-24.9','`0013 25.0-26.9','`0014 27.0-28.9','`0015 29.0-30.9','`0016 31.0-32.9','`0017 33.0-34.9','`0018 35.0-36.9','`0019 37.0-38.9','`0020 39.0-40.9','`0021 41.0+'
Georgia,13,Atkinson,3,8,Cypress,Softwood,1,0,132101,8430873.143,10017397.98,13957555.34,81433149.64,22281937.7,77990226.69,,,,,,,,,,,,,
Georgia,13,Colbert,3,8,Cypress,Softwood,1,0,132101,8430873.143,10017397.98,13957555.34,81433149.64,22281937.7,77990226.69,,,,,,,,,,,,,
Georgia,13,Atkinson,3,28,Other red oaks,Hardwood,1,0,132101,11135065.34,40894181.63,13330904.12,9080062.559,27858163.06,80784665.86,,,,173434064.6,,,,,,,,,
Georgia,13,Colbert,3,28,Other red oaks,Hardwood,1,0,132101,11135065.34,40894181.63,13330904.12,9080062.559,27858163.06,80784665.86,,,,173434064.6,,,,,,,,,
Georgia,13,Atkinson,3,32,Soft maple,Hardwood,1,0,132101,36007256.09,20481791,29299600.53,12385211.55,,,26961893.9,,,,,,,,,,,,
Georgia,13,Colbert,3,32,Soft maple,Hardwood,1,0,132101,36007256.09,20481791,29299600.53,12385211.55,,,26961893.9,,,,,,,,,,,,
Georgia,13,Atkinson,3,34,Sweetgum,Hardwood,1,0,132101,10156469.82,10513937.77,9269292.215,28638819.29,,,,,,,,,,,,,,,
Georgia,13,Colbert,3,34,Sweetgum,Hardwood,1,0,132101,10156469.82,10513937.77,9269292.215,28638819.29,,,,,,,,,,,,,,,
Georgia,13,Atkinson,3,35,Tupelo and blackgum,Hardwood,1,0,132101,21344572.53,5629842.602,14277250.76,,19522801.77,26259849.44,,,,,,,,,,,,,
Georgia,13,Colbert,3,35,Tupelo and blackgum,Hardwood,1,0,132101,21344572.53,5629842.602,14277250.76,,19522801.77,26259849.44,,,,,,,,,,,,,
Georgia,13,Atkinson,3,41,Other eastern soft hardwoods,Hardwood,1,0,132101,2146628.824,,,,,,,,,,,,,,,,,,
Georgia,13,Colbert,3,41,Other eastern soft hardwoods,Hardwood,1,0,132101,2146628.824,,,,,,,,,,,,,,,,,,
Georgia,13,Atkinson,3,43,Eastern noncommercial hardwoods,Hardwood,1,0,132101,7063151.044,17887462.54,,11511035.14,,,,,,,,,,,,,,,
Georgia,13,Colbert,3,43,Eastern noncommercial hardwoods,Hardwood,1,0,132101,7063151.044,17887462.54,,11511035.14,,,,,,,,,,,,,,,
Georgia,13,Bacon,5,1,Longleaf and slash pines,Softwood,1,0,132101,164178480.9,335400270.3,614518952.5,517530579.7,147653288.9,35691542.98,,51366164.84,,,,,,,,,,,
Georgia,13,Conecuh,5,1,Longleaf and slash pines,Softwood,1,0,132101,164178480.9,335400270.3,614518952.5,517530579.7,147653288.9,35691542.98,,51366164.84,,,,,,,,,,,
