FOREST_TYPE_GROUP,STAND_AGE_5_YR_CLASSES_TO_200,ESTIMATE,VARIANCE,PLOT_COUNT,SE,SE_PERCENT
Oak / pine group,76-80 years,13347775.741384922,11522769461269.357,21,3394520.505354086,25.43135703748257
Oak / hickory group,76-80 years,67564668.33669445,55572911806385.16,115,7454724.126779283,11.033465138362285
Oak / gum / cypress group,76-80 years,24660535.259006284,22812269482515.633,35,4776219.16190156,19.367864937794625
Elm / ash / cottonwood group,76-80 years,3102431.3070185333,2314202839768.337,7,1521250.4198087628,49.03413707717832
White / red / jack pine group,81-85 years,1197539.7985287996,638849955009.4358,3,799280.8986892129,66.74357709623887
Longleaf / slash pine group,81-85 years,4993283.371482938,3551633184351.432,10,1884577.7204327318,37.74225454929544
Loblolly / shortleaf pine group,81-85 years,7675931.04727978,5495659579635.169,16,2344282.3165385113,30.540690140374377
Oak / pine group,81-85 years,15412985.73536975,16174002127630.922,21,4021691.4510726607,26.092877266756144
Oak / hickory group,81-85 years,69633304.94107357,72413638835444.7,111,8509620.369643096,12.220618247036057
Oak / gum / cypress group,81-85 years,25344854.63663725,27789013975067.367,34,5271528.618443361,20.79920636365814
Elm / ash / cottonwood group,81-85 years,2448201.8638452636,3281597974648.426,2,1811518.140855461,73.99382247059494
White / red / jack pine group,86-90 years,2660839.698447213,2245089153898.066,4,1498362.1571229254,56.311628167503855
Longleaf / slash pine group,86-90 years,1589383.9517410866,1497609138706.6655,3,1223768.417106221,76.99639950218744
Loblolly / shortleaf pine group,86-90 years,5051566.090499921,3377217184211.287,9,1837720.6491225176,36.379226089480895
Oak / pine group,86-90 years,11905251.311469797,9189589936535.684,20,3031433.643762582,25.462995819685286
Oak / hickory group,86-90 years,40343195.84087789,39105716858782.195,68,6253456.392970386,15.500647042528168
Oak / gum / cypress group,86-90 years,21315278.605362013,24760495440360.094,27,4975991.905174294,23.344719050130298
Elm / ash / cottonwood group,86-90 years,1019238.416114015,276467882684.54034,4,525802.1326359758,51.58774672570408
Other hardwoods group,86-90 years,147398.91821124998,21344242934.48166,1,146096.69036114973,99.11652821750432
Longleaf / slash pine group,91-95 years,4102357.6033837283,5115403200328.762,6,2261725.712885796,55.132339292417306
Loblolly / shortleaf pine group,91-95 years,905578.8827306338,449076762654.6742,2,670131.8994456794,74.0003893890502
Oak / pine group,91-95 years,2601658.549827026,993805842772.7305,9,996898.1105272146,38.31779195596187
Oak / hickory group,91-95 years,34731621.25314106,36847775814785.82,51,6070236.882921936,17.47755118794794
Oak / gum / cypress group,91-95 years,16565043.05367313,18462670753937.1,19,4296821.005573435,25.93908746057052
Elm / ash / cottonwood group,91-95 years,1402300.9982337384,1064581241250.1631,2,1031785.4628023033,73.57803097208686
White / red / jack pine group,96-100 years,940928.311822363,609039706454.5514,2,780409.9605044463,82.94042709725363
Longleaf / slash pine group,96-100 years,1026231.5899817054,777841507326.9205,2,881953.2342062818,85.94095551297582
