stateAbbr,spclass,species,pwVolume,pwValue,stVolume,stValue
FL,Coniferous,loblolly pine,17832734005.257236,12612574827.40074,17519260064.14077,101636583107.73076
FL,Coniferous,longleaf pine,10779017908.049011,7679025090.940847,9581566414.52917,55573257033.00774
FL,Coniferous,shortleaf pine,40405783.299062684,27323179.072353967,640059250.7761772,3630384848.0
FL,Coniferous,slash pine,77628266066.36488,55824160859.66354,36329279032.35693,211858642276.28412
FL,Non-coniferous,bitternut hickory,6749190.6259501,3484311.843088151,79068917.0052187,363560802.2039506
FL,Non-coniferous,black cherry,855581475.8562574,420930789.260738,411769723.0822598,1910889050.8207865
FL,Non-coniferous,green ash,1372015450.9304628,673666788.8670506,1681628829.7193375,7801630113.79781
FL,Non-coniferous,mockernut hickory,220121674.37481758,109499293.04702067,504943867.88560116,2344879509.287309
FL,Non-coniferous,overcup oak,44211008.201768085,22412315.62659017,273113643.6614457,1255783171.7341661
FL,Non-coniferous,pecan,37691497.29878618,18847143.537777297,61614446.2946089,283304721.63595915
FL,Non-coniferous,pignut hickory,819115239.0768344,397169250.6723556,1695054621.4968638,7897293090.310663
FL,Non-coniferous,southern magnolia,801690116.3055184,400615458.3442134,815747897.1255367,3789701348.299305
FL,Non-coniferous,southern red oak,243474715.16340908,124741257.5572586,428383904.623201,1972716507.8184493
FL,Non-coniferous,sweetbay,5963012610.980929,2966478259.1501465,4539625348.414794,21029981973.84754
FL,Non-coniferous,sweetgum,5885010408.129512,2892113002.8575754,8086125222.116463,37612205695.1712
FL,Non-coniferous,white ash,7259631.0529967,3543040.2490679985,46962770.2513746,221277005.38915783
FL,Non-coniferous,white oak,71070045.72291997,36690355.2922432,30718184.66043954,141242959.69124484
FL,Non-coniferous,yellow-poplar,578163149.8372849,296517496.6103903,1101389898.2409856,5077240984.9719515
FL,Softwood,loblolly pine,155520405.19388044,84949838.26515712,,
FL,Softwood,longleaf pine,120911663.50209326,66191790.08292402,,
FL,Softwood,shortleaf pine,3732895.4234871548,1708770.1650314908,,
FL,Softwood,slash pine,437324554.4012499,244556822.23467168,,
GA,Coniferous,Virginia pine,6704219126.1103735,3420839783.790529,4123885794.8057103,22041415203.883816
GA,Coniferous,baldcypress,1009098252.4016562,714983030.0553198,3470017962.557875,21775420647.356323
GA,Coniferous,eastern redcedar,1074272981.9085245,634618986.2864325,583849387.4346877,3438055420.493104
GA,Coniferous,eastern white pine,1609375501.979121,819898312.1363145,5521646568.902924,29512190853.48694
GA,Coniferous,loblolly pine,185855165096.46246,122871810311.74867,176314945931.5305,1060182258055.6284
GA,Coniferous,longleaf pine,13610902438.60847,9608586965.99342,8617621193.486765,53902191599.34896
GA,Coniferous,shortleaf pine,6996199206.577723,4000375772.416991,9675938264.459429,54876371110.07511
GA,Coniferous,slash pine,72599260865.52939,51439232393.74704,46024584196.17619,288818297716.4313
GA,Non-coniferous,bitternut hickory,374665873.13147104,230203816.52836657,539105565.1296319,4251727833.111011
GA,Non-coniferous,black cherry,4257531899.965717,2587686129.5760484,628858457.4285446,4890170391.72669
GA,Non-coniferous,black oak,2013636941.4117675,1157506137.9845023,6281373868.290406,47517094608.07959
GA,Non-coniferous,black walnut,389000890.39358515,232774820.84919912,586603493.1365291,4612425979.242507
GA,Non-coniferous,butternut,19084595.3031597,10765262.374350451,0.0,0.0
GA,Non-coniferous,chestnut oak,9371584583.452366,5321806233.15336,24178946750.35917,182627071780.5834
GA,Non-coniferous,cucumbertree,103802294.71859999,62212354.40601524,48314973.98635742,364215184.15005744
