stateAbbr,spclass,species,pwVolume,pwValue,stVolume,stValue
VA,Non-coniferous,black walnut,2743653672.575422,1004770192.1315688,5591099855.838742,42672519177.739914
VA,Non-coniferous,blue ash,54182192.64945273,20229768.222433325,0.0,0.0
VA,Non-coniferous,butternut,79895980.19373357,29164774.17127548,27340259.6896367,208819350.01919568
VA,Non-coniferous,chestnut oak,37446939603.76464,13801078856.964428,79031450009.13965,603327653081.7915
VA,Non-coniferous,cucumbertree,1351476124.5195498,500210325.41623664,2588999795.2190714,19764622885.882996
VA,Non-coniferous,green ash,1702148414.011373,608644536.7992433,839180985.6710048,6402281275.060596
VA,Non-coniferous,mockernut hickory,13517937125.63537,4904872430.7095995,16398184777.022165,125123909899.93623
VA,Non-coniferous,overcup oak,24930480.387552448,8690375.92434473,349672749.76680714,2664508538.6777563
VA,Non-coniferous,pecan,83395979.38217185,29841565.300755315,53685737.8220974,409563209.1549642
VA,Non-coniferous,pignut hickory,12733135238.442022,4651084855.003412,21130342190.85823,161249002828.16022
VA,Non-coniferous,pin oak,356415964.27730757,128606715.41441147,1453072885.4278283,11084092609.048237
VA,Non-coniferous,shagbark hickory,2345772181.2518334,863965108.4301043,2401565542.6731467,18334323573.18571
VA,Non-coniferous,shelbark hickory,17123679.50068701,6393393.299073694,40709540.530274,310931201.4448126
VA,Non-coniferous,southern magnolia,975774.426761286,340139.71869356616,0.0,0.0
VA,Non-coniferous,southern red oak,6525913069.293919,2335330461.025805,18005351595.452545,137333059410.7
VA,Non-coniferous,sugar maple,5963972919.593246,2224288366.563054,6921019006.527794,52857871689.39184
VA,Non-coniferous,swamp white oak,31489360.19785824,11445942.41032369,55333851.6385046,422136507.224131
VA,Non-coniferous,sweetbay,51192891.32250116,17845042.026096992,15091858.0448225,115000052.62566023
VA,Non-coniferous,sweetgum,18976702120.78884,6744047652.698481,20970201010.906796,159893316429.84793
VA,Non-coniferous,white ash,3189023309.0094557,1165159319.878864,4438322898.656965,33881725853.798084
VA,Non-coniferous,white oak,31833208150.029694,11530023024.2948,98190573469.46161,749152759955.4832
VA,Non-coniferous,yellow-poplar,61646622417.47927,22270934131.381935,172334388659.27536,1314868970551.8965
VA,Softwood,loblolly pine,576791614.5890169,281665725.6970764,,
VA,Softwood,longleaf pine,35358341.64294499,16994987.387171388,,
VA,Softwood,shortleaf pine,39952692.54935365,21322523.209615417,,
