stateAbbr,statecd,unitcd,priceRegion,spcd,spname,spgrpcd,spclass,product,sizerange,volume,value
AL,01,01,02,121,longleaf pine,1,Softwood,Pre-merchantable,02.0-02.9,26706290.16198486,9027761.018443532
AL,01,01,02,121,longleaf pine,1,Softwood,Pre-merchantable,03.0-03.9,67190920.18264875,28656483.776319403
AL,01,01,02,121,longleaf pine,1,Softwood,Pre-merchantable,04.0-04.9,160292290.80209076,86252316.50274561
AL,01,01,02,131,loblolly pine,2,Coniferous,Pulpwood,05.0-06.9,2897333338.095472,1781683336.2617583
AL,01,01,02,131,loblolly pine,2,Coniferous,Pulpwood,07.0-08.9,5034250505.365957,3095757094.3058343
AL,01,01,02,131,loblolly pine,2,Coniferous,Pulpwood,09.0-10.9,6562824627.949507,4035736973.9555354
AL,01,01,02,131,loblolly pine,2,Coniferous,Pulpwood,11.0-12.9,5880436450.651784,3616109853.9526367
AL,01,01,02,131,loblolly pine,2,Coniferous,Sawtimber,13.0-14.9,4424461319.938854,27522037899.607452
AL,01,01,02,131,loblolly pine,2,Coniferous,Sawtimber,15.0-16.9,2968652396.879745,18466285016.32239
AL,01,01,02,131,loblolly pine,2,Coniferous,Sawtimber,17.0-18.9,1876415310.037992,11672104137.410107
AL,01,01,02,131,loblolly pine,2,Coniferous,Sawtimber,19.0-20.9,1715638923.514322,10672006389.165462
AL,01,01,02,131,loblolly pine,2,Coniferous,Sawtimber,21.0-22.9,315041879.018369,1959694956.5889583
AL,01,01,02,131,loblolly pine,2,Coniferous,Sawtimber,23.0-24.9,543031219.681419,3377885968.036583
AL,01,01,02,131,loblolly pine,2,Coniferous,Sawtimber,25.0-26.9,179924037.53106272,1119204310.288498
AL,01,01,02,131,loblolly pine,2,Coniferous,Sawtimber,27.0-28.9,0.0,0.0
AL,01,01,02,131,loblolly pine,2,Softwood,Pre-merchantable,01.0-01.9,16762067.307455093,5135926.767965402
AL,01,01,02,131,loblolly pine,2,Softwood,Pre-merchantable,02.0-02.9,53549509.05569281,18101809.2545821
AL,01,01,02,131,loblolly pine,2,Softwood,Pre-merchantable,03.0-03.9,119560335.0576384,50991693.40971901
AL,01,01,02,131,loblolly pine,2,Softwood,Pre-merchantable,04.0-04.9,204861744.4988721,110234871.16818252
AL,01,01,02,132,Virginia pine,3,Coniferous,Pulpwood,05.0-06.9,0.0,0.0
AL,01,01,02,132,Virginia pine,3,Coniferous,Pulpwood,07.0-08.9,0.0,0.0
AL,01,01,02,132,Virginia pine,3,Coniferous,Pulpwood,09.0-10.9,0.0,0.0
AL,01,01,02,132,Virginia pine,3,Coniferous,Pulpwood,11.0-12.9,0.0,0.0
AL,01,01,02,132,Virginia pine,3,Coniferous,Sawtimber,13.0-14.9,16480642.4805271,102516630.64944951
AL,01,01,02,132,Virginia pine,3,Coniferous,Sawtimber,15.0-16.9,0.0,0.0
AL,01,01,02,132,Virginia pine,3,Coniferous,Sawtimber,17.0-18.9,0.0,0.0
AL,01,01,02,132,Virginia pine,3,Coniferous,Sawtimber,19.0-20.9,0.0,0.0
AL,01,01,02,132,Virginia pine,3,Coniferous,Sawtimber,21.0-22.9,0.0,0.0
AL,01,01,02,132,Virginia pine,3,Coniferous,Sawtimber,23.0-24.9,0.0,0.0
AL,01,01,02,132,Virginia pine,3,Coniferous,Sawtimber,25.0-26.9,0.0,0.0
AL,01,01,02,132,Virginia pine,3,Coniferous,Sawtimber,27.0-28.9,0.0,0.0
AL,01,01,02,221,baldcypress,8,Coniferous,Pulpwood,05.0-06.9,39654670.73690784,24385204.535470463
AL,01,01,02,221,baldcypress,8,Coniferous,Pulpwood,07.0-08.9,82127102.51601219,50503160.297194086
AL,01,01,02,221,baldcypress,8,Coniferous,Pulpwood,09.0-10.9,128217945.4647569,78846218.29341912
AL,01,01,02,221,baldcypress,8,Coniferous,Pulpwood,11.0-12.9,232946105.8712366,143247651.0799647
AL,01,01,02,221,baldcypress,8,Coniferous,Sawtimber,13.0-14.9,301974333.4288461,1878409245.4112036
AL,01,01,02,221,baldcypress,8,Coniferous,Sawtimber,15.0-16.9,109367238.46140319,680310904.3682956
AL,01,01,02,221,baldcypress,8,Coniferous,Sawtimber,17.0-18.9,223862149.5513013,1392518121.1265855
AL,01,01,02,221,baldcypress,8,Coniferous,Sawtimber,19.0-20.9,254400755.25030172,1582481283.3450933
AL,01,01,02,221,baldcypress,8,Coniferous,Sawtimber,21.0-22.9,121368331.01652479,754962822.4787059
AL,01,01,02,221,baldcypress,8,Coniferous,Sawtimber,23.0-24.9,153066092.38362437,952136427.7143562
AL,01,01,02,221,baldcypress,8,Coniferous,Sawtimber,25.0-26.9,45361267.7567977,282166446.9640072
AL,01,01,02,221,baldcypress,8,Coniferous,Sawtimber,27.0-28.9,142498348.070738,886400547.4656303
AL,01,01,02,403,pignut hickory,29,Non-coniferous,Pulpwood,05.0-06.9,7246056.4949132,5878385.97542488
AL,01,01,02,403,pignut hickory,29,Non-coniferous,Pulpwood,07.0-08.9,4767115.85710513,3867337.6363135907
AL,01,01,02,403,pignut hickory,29,Non-coniferous,Pulpwood,09.0-10.9,16399640.9804379,13304259.99425831
AL,01,01,02,403,pignut hickory,29,Non-coniferous,Pulpwood,11.0-12.9,52138331.9644131,42297384.73841751
AL,01,01,02,403,pignut hickory,29,Non-coniferous,Sawtimber,13.0-14.9,0.0,0.0
AL,01,01,02,403,pignut hickory,29,Non-coniferous,Sawtimber,15.0-16.9,0.0,0.0
AL,01,01,02,403,pignut hickory,29,Non-coniferous,Sawtimber,17.0-18.9,0.0,0.0
AL,01,01,02,403,pignut hickory,29,Non-coniferous,Sawtimber,19.0-20.9,0.0,0.0
AL,01,01,02,403,pignut hickory,29,Non-coniferous,Sawtimber,21.0-22.9,0.0,0.0
AL,01,01,02,403,pignut hickory,29,Non-coniferous,Sawtimber,23.0-24.9,0.0,0.0
AL,01,01,02,403,pignut hickory,29,Non-coniferous,Sawtimber,25.0-26.9,0.0,0.0
AL,01,01,02,403,pignut hickory,29,Non-coniferous,Sawtimber,27.0-28.9,0.0,0.0
AL,01,01,02,404,pecan,29,Non-coniferous,Pulpwood,05.0-06.9,14604439.5659288,11847897.236733383
AL,01,01,02,404,pecan,29,Non-coniferous,Pulpwood,07.0-08.9,0.0,0.0
AL,01,01,02,404,pecan,29,Non-coniferous,Pulpwood,09.0-10.9,19084018.3717753,15481969.541660124
AL,01,01,02,404,pecan,29,Non-coniferous,Pulpwood,11.0-12.9,42728104.3945662,34663308.21541806
AL,01,01,02,404,pecan,29,Non-coniferous,Sawtimber,13.0-14.9,52699122.6020537,466923942.6549255
AL,01,01,02,404,pecan,29,Non-coniferous,Sawtimber,15.0-16.9,101520933.941403,899494192.643026
AL,01,01,02,404,pecan,29,Non-coniferous,Sawtimber,17.0-18.9,39369976.4442383,348825250.1353582
AL,01,01,02,404,pecan,29,Non-coniferous,Sawtimber,19.0-20.9,60246437.1456619,533794541.0474131
AL,01,01,02,404,pecan,29,Non-coniferous,Sawtimber,21.0-22.9,0.0,0.0
AL,01,01,02,404,pecan,29,Non-coniferous,Sawtimber,23.0-24.9,0.0,0.0
AL,01,01,02,404,pecan,29,Non-coniferous,Sawtimber,25.0-26.9,0.0,0.0
AL,01,01,02,404,pecan,29,Non-coniferous,Sawtimber,27.0-28.9,0.0,0.0
AL,01,01,02,407,shagbark hickory,29,Non-coniferous,Pulpwood,05.0-06.9,2554098.64867918,2072020.510299262
AL,01,01,02,407,shagbark hickory,29,Non-coniferous,Pulpwood,07.0-08.9,0.0,0.0
AL,01,01,02,407,shagbark hickory,29,Non-coniferous,Pulpwood,09.0-10.9,0.0,0.0
AL,01,01,02,407,shagbark hickory,29,Non-coniferous,Pulpwood,11.0-12.9,0.0,0.0
AL,01,01,02,407,shagbark hickory,29,Non-coniferous,Sawtimber,13.0-14.9,0.0,0.0
AL,01,01,02,407,shagbark hickory,29,Non-coniferous,Sawtimber,15.0-16.9,40051850.7867841,354866782.5308959
AL,01,01,02,407,shagbark hickory,29,Non-coniferous,Sawtimber,17.0-18.9,0.0,0.0
AL,01,01,02,407,shagbark hickory,29,Non-coniferous,Sawtimber,19.0-20.9,0.0,0.0
AL,01,01,02,407,shagbark hickory,29,Non-coniferous,Sawtimber,21.0-22.9,0.0,0.0
AL,01,01,02,407,shagbark hickory,29,Non-coniferous,Sawtimber,23.0-24.9,0.0,0.0
AL,01,01,02,407,shagbark hickory,29,Non-coniferous,Sawtimber,25.0-26.9,0.0,0.0
AL,01,01,02,407,shagbark hickory,29,Non-coniferous,Sawtimber,27.0-28.9,0.0,0.0
AL,01,01,02,409,mockernut hickory,29,Non-coniferous,Pulpwood,05.0-06.9,14340903.24652692,11634102.57406761
AL,01,01,02,409,mockernut hickory,29,Non-coniferous,Pulpwood,07.0-08.9,24443724.64077402,19830048.001467425
AL,01,01,02,409,mockernut hickory,29,Non-coniferous,Pulpwood,09.0-10.9,8865583.23207946,7192232.101972062
AL,01,01,02,409,mockernut hickory,29,Non-coniferous,Pulpwood,11.0-12.9,13923499.7109081,11295482.651410794
AL,01,01,02,409,mockernut hickory,29,Non-coniferous,Sawtimber,13.0-14.9,25830588.4170402,228863775.88971555
AL,01,01,02,409,mockernut hickory,29,Non-coniferous,Sawtimber,15.0-16.9,51768235.587777,458676112.0761407
AL,01,01,02,409,mockernut hickory,29,Non-coniferous,Sawtimber,17.0-18.9,0.0,0.0
AL,01,01,02,409,mockernut hickory,29,Non-coniferous,Sawtimber,19.0-20.9,61250281.120983,542688783.752491
AL,01,01,02,409,mockernut hickory,29,Non-coniferous,Sawtimber,21.0-22.9,0.0,0.0
