stateAbbr,statecd,unitcd,priceRegion,spcd,spgrpcd,priceSpecies,Product,size_class_code,size_class_range,cuftPrice,volume,value
AL,01,01,02,121,1,Pine,Sawtimber,0011,21.0-22.9,6.220426829268293,138710734.8805474,862839976.7584783
AL,01,01,02,121,1,Pine,Sawtimber,0012,23.0-24.9,6.220426829268293,0.0,0.0
AL,01,01,02,121,1,Pine,Sawtimber,0013,25.0-26.9,6.220426829268293,0.0,0.0
AL,01,01,02,121,1,Pine,Sawtimber,0014,27.0-28.9,6.220426829268293,0.0,0.0
AL,01,01,02,121,1,Pine,Sawtimber,0015,29.0-30.9,6.220426829268293,98128223.2410098,610399432.5568058
AL,01,01,02,121,1,Pine,Sawtimber,0016,31.0-32.9,6.220426829268293,0.0,0.0
AL,01,01,02,121,1,Pine,Sawtimber,0017,33.0-34.9,6.220426829268293,0.0,0.0
AL,01,01,02,121,1,Pine,Sawtimber,0018,35.0-36.9,6.220426829268293,0.0,0.0
AL,01,01,02,131,2,Pine,Pulpwood,0003,5.0-6.9,0.614939024390244,2897333338.095472,1781683336.2617583
AL,01,01,02,131,2,Pine,Pulpwood,0004,7.0-8.9,0.614939024390244,5034250505.365957,3095757094.3058343
AL,01,01,02,131,2,Pine,Pulpwood,0005,9.0-10.9,0.614939024390244,6562824627.949507,4035736973.9555354
AL,01,01,02,131,2,Pine,Pulpwood,0006,11.0-12.9,0.614939024390244,5880436450.651784,3616109853.9526367
AL,01,01,02,131,2,Pine,Sawtimber,0007,13.0-14.9,6.220426829268293,4424461319.938854,27522037899.607452
AL,01,01,02,131,2,Pine,Sawtimber,0008,15.0-16.9,6.220426829268293,2968652396.879745,18466285016.32239
AL,01,01,02,131,2,Pine,Sawtimber,0009,17.0-18.9,6.220426829268293,1876415310.037992,11672104137.410107
AL,01,01,02,131,2,Pine,Sawtimber,0010,19.0-20.9,6.220426829268293,1715638923.514322,10672006389.165462
AL,01,01,02,131,2,Pine,Sawtimber,0011,21.0-22.9,6.220426829268293,315041879.018369,1959694956.5889583
AL,01,01,02,131,2,Pine,Sawtimber,0012,23.0-24.9,6.220426829268293,543031219.681419,3377885968.036583
AL,01,01,02,131,2,Pine,Sawtimber,0013,25.0-26.9,6.220426829268293,179924037.53106272,1119204310.288498
AL,01,01,02,131,2,Pine,Sawtimber,0014,27.0-28.9,6.220426829268293,0.0,0.0
AL,01,01,02,131,2,Pine,Sawtimber,0015,29.0-30.9,6.220426829268293,102826241.78935,639623113.1793013
AL,01,01,02,131,2,Pine,Sawtimber,0016,31.0-32.9,6.220426829268293,0.0,0.0
AL,01,01,02,131,2,Pine,Sawtimber,0017,33.0-34.9,6.220426829268293,0.0,0.0
AL,01,01,02,131,2,Pine,Sawtimber,0018,35.0-36.9,6.220426829268293,0.0,0.0
AL,01,01,02,132,3,Pine,Pulpwood,0003,5.0-6.9,0.614939024390244,0.0,0.0
AL,01,01,02,132,3,Pine,Pulpwood,0004,7.0-8.9,0.614939024390244,0.0,0.0
AL,01,01,02,132,3,Pine,Pulpwood,0005,9.0-10.9,0.614939024390244,0.0,0.0
AL,01,01,02,132,3,Pine,Pulpwood,0006,11.0-12.9,0.614939024390244,0.0,0.0
AL,01,01,02,132,3,Pine,Sawtimber,0007,13.0-14.9,6.220426829268293,16480642.4805271,102516630.64944951
AL,01,01,02,132,3,Pine,Sawtimber,0008,15.0-16.9,6.220426829268293,0.0,0.0
AL,01,01,02,132,3,Pine,Sawtimber,0009,17.0-18.9,6.220426829268293,0.0,0.0
AL,01,01,02,132,3,Pine,Sawtimber,0010,19.0-20.9,6.220426829268293,0.0,0.0
AL,01,01,02,132,3,Pine,Sawtimber,0011,21.0-22.9,6.220426829268293,0.0,0.0
AL,01,01,02,132,3,Pine,Sawtimber,0012,23.0-24.9,6.220426829268293,0.0,0.0
AL,01,01,02,132,3,Pine,Sawtimber,0013,25.0-26.9,6.220426829268293,0.0,0.0
AL,01,01,02,132,3,Pine,Sawtimber,0014,27.0-28.9,6.220426829268293,0.0,0.0
AL,01,01,02,132,3,Pine,Sawtimber,0015,29.0-30.9,6.220426829268293,0.0,0.0
AL,01,01,02,132,3,Pine,Sawtimber,0016,31.0-32.9,6.220426829268293,0.0,0.0
AL,01,01,02,132,3,Pine,Sawtimber,0017,33.0-34.9,6.220426829268293,0.0,0.0
AL,01,01,02,132,3,Pine,Sawtimber,0018,35.0-36.9,6.220426829268293,0.0,0.0
AL,01,01,02,221,8,Pine,Pulpwood,0003,5.0-6.9,0.614939024390244,39654670.73690784,24385204.535470463
AL,01,01,02,221,8,Pine,Pulpwood,0004,7.0-8.9,0.614939024390244,82127102.51601219,50503160.297194086
AL,01,01,02,221,8,Pine,Pulpwood,0005,9.0-10.9,0.614939024390244,128217945.4647569,78846218.29341912
AL,01,01,02,221,8,Pine,Pulpwood,0006,11.0-12.9,0.614939024390244,232946105.8712366,143247651.0799647
AL,01,01,02,221,8,Pine,Sawtimber,0007,13.0-14.9,6.220426829268293,301974333.4288461,1878409245.4112036
AL,01,01,02,221,8,Pine,Sawtimber,0008,15.0-16.9,6.220426829268293,109367238.46140319,680310904.3682956
AL,01,01,02,221,8,Pine,Sawtimber,0009,17.0-18.9,6.220426829268293,223862149.5513013,1392518121.1265855
AL,01,01,02,221,8,Pine,Sawtimber,0010,19.0-20.9,6.220426829268293,254400755.25030172,1582481283.3450933
AL,01,01,02,221,8,Pine,Sawtimber,0011,21.0-22.9,6.220426829268293,121368331.01652479,754962822.4787059
AL,01,01,02,221,8,Pine,Sawtimber,0012,23.0-24.9,6.220426829268293,153066092.38362437,952136427.7143562
AL,01,01,02,221,8,Pine,Sawtimber,0013,25.0-26.9,6.220426829268293,45361267.7567977,282166446.9640072
AL,01,01,02,221,8,Pine,Sawtimber,0014,27.0-28.9,6.220426829268293,142498348.070738,886400547.4656303
AL,01,01,02,221,8,Pine,Sawtimber,0015,29.0-30.9,6.220426829268293,78638200.5948137,489163172.785361
AL,01,01,02,221,8,Pine,Sawtimber,0016,31.0-32.9,6.220426829268293,0.0,0.0
AL,01,01,02,221,8,Pine,Sawtimber,0017,33.0-34.9,6.220426829268293,0.0,0.0
AL,01,01,02,221,8,Pine,Sawtimber,0018,35.0-36.9,6.220426829268293,0.0,0.0
AL,01,01,02,403,29,Oak,Pulpwood,0003,5.0-6.9,0.811253125,7246056.4949132,5878385.97542488
AL,01,01,02,403,29,Oak,Pulpwood,0004,7.0-8.9,0.811253125,4767115.85710513,3867337.6363135907
AL,01,01,02,403,29,Oak,Pulpwood,0005,9.0-10.9,0.811253125,16399640.9804379,13304259.99425831
AL,01,01,02,403,29,Oak,Pulpwood,0006,11.0-12.9,0.811253125,52138331.9644131,42297384.73841751
AL,01,01,02,403,29,Oak,Sawtimber,0007,13.0-14.9,8.860184375,0.0,0.0
AL,01,01,02,403,29,Oak,Sawtimber,0008,15.0-16.9,8.860184375,0.0,0.0
AL,01,01,02,403,29,Oak,Sawtimber,0009,17.0-18.9,8.860184375,0.0,0.0
AL,01,01,02,403,29,Oak,Sawtimber,0010,19.0-20.9,8.860184375,0.0,0.0
AL,01,01,02,403,29,Oak,Sawtimber,0011,21.0-22.9,8.860184375,0.0,0.0
AL,01,01,02,403,29,Oak,Sawtimber,0012,23.0-24.9,8.860184375,0.0,0.0
AL,01,01,02,403,29,Oak,Sawtimber,0013,25.0-26.9,8.860184375,0.0,0.0
AL,01,01,02,403,29,Oak,Sawtimber,0014,27.0-28.9,8.860184375,0.0,0.0
AL,01,01,02,403,29,Oak,Sawtimber,0015,29.0-30.9,8.860184375,0.0,0.0
AL,01,01,02,403,29,Oak,Sawtimber,0016,31.0-32.9,8.860184375,0.0,0.0
AL,01,01,02,403,29,Oak,Sawtimber,0017,33.0-34.9,8.860184375,0.0,0.0
AL,01,01,02,403,29,Oak,Sawtimber,0018,35.0-36.9,8.860184375,0.0,0.0
AL,01,01,02,404,29,Oak,Pulpwood,0003,5.0-6.9,0.811253125,14604439.5659288,11847897.236733383
AL,01,01,02,404,29,Oak,Pulpwood,0004,7.0-8.9,0.811253125,0.0,0.0
AL,01,01,02,404,29,Oak,Pulpwood,0005,9.0-10.9,0.811253125,19084018.3717753,15481969.541660124
AL,01,01,02,404,29,Oak,Pulpwood,0006,11.0-12.9,0.811253125,42728104.3945662,34663308.21541806
AL,01,01,02,404,29,Oak,Sawtimber,0007,13.0-14.9,8.860184375,52699122.6020537,466923942.6549255
AL,01,01,02,404,29,Oak,Sawtimber,0008,15.0-16.9,8.860184375,101520933.941403,899494192.643026
AL,01,01,02,404,29,Oak,Sawtimber,0009,17.0-18.9,8.860184375,39369976.4442383,348825250.1353582
AL,01,01,02,404,29,Oak,Sawtimber,0010,19.0-20.9,8.860184375,60246437.1456619,533794541.0474131
AL,01,01,02,404,29,Oak,Sawtimber,0011,21.0-22.9,8.860184375,0.0,0.0
AL,01,01,02,404,29,Oak,Sawtimber,0012,23.0-24.9,8.860184375,0.0,0.0
AL,01,01,02,404,29,Oak,Sawtimber,0013,25.0-26.9,8.860184375,0.0,0.0
AL,01,01,02,404,29,Oak,Sawtimber,0014,27.0-28.9,8.860184375,0.0,0.0
AL,01,01,02,404,29,Oak,Sawtimber,0015,29.0-30.9,8.860184375,0.0,0.0
AL,01,01,02,404,29,Oak,Sawtimber,0016,31.0-32.9,8.860184375,0.0,0.0
AL,01,01,02,404,29,Oak,Sawtimber,0017,33.0-34.9,8.860184375,124187315.725397,1100322514.3633542
AL,01,01,02,404,29,Oak,Sawtimber,0018,35.0-36.9,8.860184375,0.0,0.0
AL,01,01,02,407,29,Oak,Pulpwood,0003,5.0-6.9,0.811253125,2554098.64867918,2072020.510299262
AL,01,01,02,407,29,Oak,Pulpwood,0004,7.0-8.9,0.811253125,0.0,0.0
AL,01,01,02,407,29,Oak,Pulpwood,0005,9.0-10.9,0.811253125,0.0,0.0
AL,01,01,02,407,29,Oak,Pulpwood,0006,11.0-12.9,0.811253125,0.0,0.0
AL,01,01,02,407,29,Oak,Sawtimber,0007,13.0-14.9,8.860184375,0.0,0.0
AL,01,01,02,407,29,Oak,Sawtimber,0008,15.0-16.9,8.860184375,40051850.7867841,354866782.5308959
AL,01,01,02,407,29,Oak,Sawtimber,0009,17.0-18.9,8.860184375,0.0,0.0
AL,01,01,02,407,29,Oak,Sawtimber,0010,19.0-20.9,8.860184375,0.0,0.0
AL,01,01,02,407,29,Oak,Sawtimber,0011,21.0-22.9,8.860184375,0.0,0.0
AL,01,01,02,407,29,Oak,Sawtimber,0012,23.0-24.9,8.860184375,0.0,0.0
AL,01,01,02,407,29,Oak,Sawtimber,0013,25.0-26.9,8.860184375,0.0,0.0
AL,01,01,02,407,29,Oak,Sawtimber,0014,27.0-28.9,8.860184375,0.0,0.0
AL,01,01,02,407,29,Oak,Sawtimber,0015,29.0-30.9,8.860184375,0.0,0.0
AL,01,01,02,407,29,Oak,Sawtimber,0016,31.0-32.9,8.860184375,0.0,0.0
AL,01,01,02,407,29,Oak,Sawtimber,0017,33.0-34.9,8.860184375,0.0,0.0
AL,01,01,02,407,29,Oak,Sawtimber,0018,35.0-36.9,8.860184375,0.0,0.0
AL,01,01,02,409,29,Oak,Pulpwood,0003,5.0-6.9,0.811253125,14340903.24652692,11634102.57406761
AL,01,01,02,409,29,Oak,Pulpwood,0004,7.0-8.9,0.811253125,24443724.64077402,19830048.001467425
AL,01,01,02,409,29,Oak,Pulpwood,0005,9.0-10.9,0.811253125,8865583.23207946,7192232.101972062
AL,01,01,02,409,29,Oak,Pulpwood,0006,11.0-12.9,0.811253125,13923499.7109081,11295482.651410794
AL,01,01,02,409,29,Oak,Sawtimber,0007,13.0-14.9,8.860184375,25830588.4170402,228863775.88971555
AL,01,01,02,409,29,Oak,Sawtimber,0008,15.0-16.9,8.860184375,51768235.587777,458676112.0761407
AL,01,01,02,409,29,Oak,Sawtimber,0009,17.0-18.9,8.860184375,0.0,0.0
AL,01,01,02,409,29,Oak,Sawtimber,0010,19.0-20.9,8.860184375,61250281.120983,542688783.752491
AL,01,01,02,409,29,Oak,Sawtimber,0011,21.0-22.9,8.860184375,0.0,0.0
AL,01,01,02,409,29,Oak,Sawtimber,0012,23.0-24.9,8.860184375,0.0,0.0
AL,01,01,02,409,29,Oak,Sawtimber,0013,25.0-26.9,8.860184375,0.0,0.0
AL,01,01,02,409,29,Oak,Sawtimber,0014,27.0-28.9,8.860184375,0.0,0.0
AL,01,01,02,409,29,Oak,Sawtimber,0015,29.0-30.9,8.860184375,0.0,0.0
AL,01,01,02,409,29,Oak,Sawtimber,0016,31.0-32.9,8.860184375,0.0,0.0
AL,01,01,02,409,29,Oak,Sawtimber,0017,33.0-34.9,8.860184375,0.0,0.0
AL,01,01,02,409,29,Oak,Sawtimber,0018,35.0-36.9,8.860184375,0.0,0.0
AL,01,01,02,544,36,Oak,Pulpwood,0003,5.0-6.9,0.811253125,101362924.44255924,82230989.21316507
AL,01,01,02,544,36,Oak,Pulpwood,0004,7.0-8.9,0.811253125,68078389.07798712,55228805.88448292
AL,01,01,02,544,36,Oak,Pulpwood,0005,9.0-10.9,0.811253125,29454895.636318468,23895376.13151222
AL,01,01,02,544,36,Oak,Pulpwood,0006,11.0-12.9,0.811253125,106362116.99754527,86286599.79587422
AL,01,01,02,544,36,Oak,Sawtimber,0007,13.0-14.9,8.860184375,107580292.68142089,953181228.2738522
AL,01,01,02,544,36,Oak,Sawtimber,0008,15.0-16.9,8.860184375,23698473.7798886,209972847.09591615
AL,01,01,02,544,36,Oak,Sawtimber,0009,17.0-18.9,8.860184375,63993589.9862847,566995006.0966362
AL,01,01,02,544,36,Oak,Sawtimber,0010,19.0-20.9,8.860184375,31813431.7727864,281872871.1083706
AL,01,01,02,544,36,Oak,Sawtimber,0011,21.0-22.9,8.860184375,53104164.5317193,470512688.83136845
AL,01,01,02,544,36,Oak,Sawtimber,0012,23.0-24.9,8.860184375,0.0,0.0
AL,01,01,02,544,36,Oak,Sawtimber,0013,25.0-26.9,8.860184375,0.0,0.0
AL,01,01,02,544,36,Oak,Sawtimber,0014,27.0-28.9,8.860184375,0.0,0.0
AL,01,01,02,544,36,Oak,Sawtimber,0015,29.0-30.9,8.860184375,0.0,0.0
AL,01,01,02,544,36,Oak,Sawtimber,0016,31.0-32.9,8.860184375,0.0,0.0
AL,01,01,02,544,36,Oak,Sawtimber,0017,33.0-34.9,8.860184375,0.0,0.0
AL,01,01,02,544,36,Oak,Sawtimber,0018,35.0-36.9,8.860184375,0.0,0.0
AL,01,01,02,602,40,Oak,Pulpwood,0003,5.0-6.9,0.811253125,4039754.54270961,3277263.497006117
AL,01,01,02,602,40,Oak,Pulpwood,0004,7.0-8.9,0.811253125,0.0,0.0
AL,01,01,02,602,40,Oak,Pulpwood,0005,9.0-10.9,0.811253125,0.0,0.0
AL,01,01,02,602,40,Oak,Pulpwood,0006,11.0-12.9,0.811253125,0.0,0.0
AL,01,01,02,602,40,Oak,Sawtimber,0007,13.0-14.9,8.860184375,0.0,0.0
AL,01,01,02,602,40,Oak,Sawtimber,0008,15.0-16.9,8.860184375,0.0,0.0
AL,01,01,02,602,40,Oak,Sawtimber,0009,17.0-18.9,8.860184375,0.0,0.0
AL,01,01,02,602,40,Oak,Sawtimber,0010,19.0-20.9,8.860184375,0.0,0.0
AL,01,01,02,602,40,Oak,Sawtimber,0011,21.0-22.9,8.860184375,0.0,0.0
AL,01,01,02,602,40,Oak,Sawtimber,0012,23.0-24.9,8.860184375,0.0,0.0
AL,01,01,02,602,40,Oak,Sawtimber,0013,25.0-26.9,8.860184375,0.0,0.0
AL,01,01,02,602,40,Oak,Sawtimber,0014,27.0-28.9,8.860184375,0.0,0.0
AL,01,01,02,602,40,Oak,Sawtimber,0015,29.0-30.9,8.860184375,0.0,0.0
AL,01,01,02,602,40,Oak,Sawtimber,0016,31.0-32.9,8.860184375,0.0,0.0
AL,01,01,02,602,40,Oak,Sawtimber,0017,33.0-34.9,8.860184375,0.0,0.0
AL,01,01,02,602,40,Oak,Sawtimber,0018,35.0-36.9,8.860184375,0.0,0.0
AL,01,01,02,611,34,Oak,Pulpwood,0003,5.0-6.9,0.811253125,330268033.9494636,267930974.62910846
AL,01,01,02,611,34,Oak,Pulpwood,0004,7.0-8.9,0.811253125,373768890.1358429,303221180.15048426
AL,01,01,02,611,34,Oak,Pulpwood,0005,9.0-10.9,0.811253125,332971475.8828751,270124150.34584457
AL,01,01,02,611,34,Oak,Pulpwood,0006,11.0-12.9,0.811253125,308439400.9504744,250222427.89420033
AL,01,01,02,611,34,Oak,Sawtimber,0007,13.0-14.9,8.860184375,334045611.7058646,2959705709.3736186
AL,01,01,02,611,34,Oak,Sawtimber,0008,15.0-16.9,8.860184375,400671302.2223147,3550021611.4610553
AL,01,01,02,611,34,Oak,Sawtimber,0009,17.0-18.9,8.860184375,212362117.12534088,1881567511.995865
AL,01,01,02,611,34,Oak,Sawtimber,0010,19.0-20.9,8.860184375,155072368.6435988,1373969777.6502538
AL,01,01,02,611,34,Oak,Sawtimber,0011,21.0-22.9,8.860184375,121944516.7830687,1080450902.2182705
AL,01,01,02,611,34,Oak,Sawtimber,0012,23.0-24.9,8.860184375,0.0,0.0
AL,01,01,02,611,34,Oak,Sawtimber,0013,25.0-26.9,8.860184375,0.0,0.0
AL,01,01,02,611,34,Oak,Sawtimber,0014,27.0-28.9,8.860184375,0.0,0.0
AL,01,01,02,611,34,Oak,Sawtimber,0015,29.0-30.9,8.860184375,0.0,0.0
AL,01,01,02,611,34,Oak,Sawtimber,0016,31.0-32.9,8.860184375,0.0,0.0
AL,01,01,02,611,34,Oak,Sawtimber,0017,33.0-34.9,8.860184375,0.0,0.0
AL,01,01,02,611,34,Oak,Sawtimber,0018,35.0-36.9,8.860184375,0.0,0.0
AL,01,01,02,621,39,Oak,Pulpwood,0003,5.0-6.9,0.811253125,140982043.50790858,114372123.3646768
AL,01,01,02,621,39,Oak,Pulpwood,0004,7.0-8.9,0.811253125,273774226.3193109,222100196.6459982
AL,01,01,02,621,39,Oak,Pulpwood,0005,9.0-10.9,0.811253125,391491794.2933117,317598941.5323063
AL,01,01,02,621,39,Oak,Pulpwood,0006,11.0-12.9,0.811253125,486884681.7741679,394986719.6039243
AL,01,01,02,621,39,Oak,Sawtimber,0007,13.0-14.9,8.860184375,488856215.2604636,4331356200.072395
AL,01,01,02,621,39,Oak,Sawtimber,0008,15.0-16.9,8.860184375,430707569.85145056,3816148480.592043
AL,01,01,02,621,39,Oak,Sawtimber,0009,17.0-18.9,8.860184375,164679257.8984375,1459088587.718331
AL,01,01,02,621,39,Oak,Sawtimber,0010,19.0-20.9,8.860184375,250784482.0833505,2221996749.6473694
AL,01,01,02,621,39,Oak,Sawtimber,0011,21.0-22.9,8.860184375,121661468.8836,1077943045.6420214
AL,01,01,02,621,39,Oak,Sawtimber,0012,23.0-24.9,8.860184375,238224569.46372873,2110713608.1036313
AL,01,01,02,621,39,Oak,Sawtimber,0013,25.0-26.9,8.860184375,197764040.7943454,1752225864.1829216
AL,01,01,02,621,39,Oak,Sawtimber,0014,27.0-28.9,8.860184375,109134026.100385,966947592.8354733
AL,01,01,02,621,39,Oak,Sawtimber,0015,29.0-30.9,8.860184375,119452887.521608,1058374607.5675836
AL,01,01,02,621,39,Oak,Sawtimber,0016,31.0-32.9,8.860184375,141332731.92417,1252234063.0705945
AL,01,01,02,621,39,Oak,Sawtimber,0017,33.0-34.9,8.860184375,111378191.787504,986831314.5913962
AL,01,01,02,621,39,Oak,Sawtimber,0018,35.0-36.9,8.860184375,0.0,0.0
AL,01,01,02,652,41,Oak,Pulpwood,0003,5.0-6.9,0.811253125,52030479.729507975,42209889.2758125
AL,01,01,02,652,41,Oak,Pulpwood,0004,7.0-8.9,0.811253125,75273100.69466908,61065538.16698997
AL,01,01,02,652,41,Oak,Pulpwood,0005,9.0-10.9,0.811253125,26060428.860957332,21141604.352291826
AL,01,01,02,652,41,Oak,Pulpwood,0006,11.0-12.9,0.811253125,0.0,0.0
AL,01,01,02,652,41,Oak,Sawtimber,0007,13.0-14.9,8.860184375,39137369.3539836,346764308.42876935
AL,01,01,02,652,41,Oak,Sawtimber,0008,15.0-16.9,8.860184375,48401419.1852377,428845497.99286824
AL,01,01,02,652,41,Oak,Sawtimber,0009,17.0-18.9,8.860184375,0.0,0.0
AL,01,01,02,652,41,Oak,Sawtimber,0010,19.0-20.9,8.860184375,0.0,0.0
AL,01,01,02,652,41,Oak,Sawtimber,0011,21.0-22.9,8.860184375,0.0,0.0
AL,01,01,02,652,41,Oak,Sawtimber,0012,23.0-24.9,8.860184375,0.0,0.0
AL,01,01,02,652,41,Oak,Sawtimber,0013,25.0-26.9,8.860184375,0.0,0.0
AL,01,01,02,652,41,Oak,Sawtimber,0014,27.0-28.9,8.860184375,0.0,0.0
AL,01,01,02,652,41,Oak,Sawtimber,0015,29.0-30.9,8.860184375,0.0,0.0
AL,01,01,02,652,41,Oak,Sawtimber,0016,31.0-32.9,8.860184375,0.0,0.0
AL,01,01,02,652,41,Oak,Sawtimber,0017,33.0-34.9,8.860184375,0.0,0.0
AL,01,01,02,652,41,Oak,Sawtimber,0018,35.0-36.9,8.860184375,0.0,0.0
AL,01,01,02,653,43,Oak,Pulpwood,0003,5.0-6.9,0.811253125,712766018.446804,578233659.8587774
AL,01,01,02,653,43,Oak,Pulpwood,0004,7.0-8.9,0.811253125,758084668.4577515,614998556.3009399
