"SPCLASS","SPGRPCD","SPGRPNM","COUNTYCD","STATECD","UNITCD","AREATOT"
"Softwood","2","Loblolly and shortleaf pines","123","37","3","1168670.09050316"
"Softwood","2","Loblolly and shortleaf pines","3","45","1","219677.291322922"
"Softwood","2","Loblolly and shortleaf pines","9","45","1","119330.719668916"
"Softwood","2","Loblolly and shortleaf pines","11","45","1","147367.954109852"
"Softwood","2","Loblolly and shortleaf pines","29","45","1","373342.967738303"
"Softwood","2","Loblolly and shortleaf pines","35","45","1","426444.19095934"
"Softwood","2","Loblolly and shortleaf pines","53","45","1","2464251.39578808"
"Softwood","2","Loblolly and shortleaf pines","15","45","2","1202638.23685529"
"Softwood","2","Loblolly and shortleaf pines","55","45","2","654884.129790672"
"Softwood","2","Loblolly and shortleaf pines","39","45","3","157688.264619299"
"Softwood","2","Loblolly and shortleaf pines","81","45","3","1366020.67983144"
"Softwood","2","Loblolly and shortleaf pines","71","47","2","256254.884969639"
"Softwood","2","Loblolly and shortleaf pines","5","48","1","141599.875684305"
"Softwood","2","Loblolly and shortleaf pines","199","48","1","239463.659450608"
"Softwood","2","Loblolly and shortleaf pines","455","48","1","1484139.31079227"
"Softwood","2","Loblolly and shortleaf pines","1","48","2","1504842.44493251"
"Softwood","2","Loblolly and shortleaf pines","401","48","2","172832.49687331"
"Softwood","2","Loblolly and shortleaf pines","53","51","1","379714.396435598"
"Softwood","2","Loblolly and shortleaf pines","83","51","2","141102.42775238"
"Softwood","1","Longleaf and slash pines","3","1","1","788935.459347453"
"Softwood","1","Longleaf and slash pines","1","12","1","541679.21026298"
"Softwood","1","Longleaf and slash pines","109","12","1","217774.775284207"
"Softwood","1","Longleaf and slash pines","39","12","2","76717.6940704822"
"Softwood","1","Longleaf and slash pines","65","13","1","230042.004100584"
"Softwood","1","Longleaf and slash pines","107","13","1","41506.0695109249"
"Softwood","1","Longleaf and slash pines","287","13","2","831835.480565386"
"Softwood","1","Longleaf and slash pines","307","13","3","157961.900921009"
"Softwood","1","Longleaf and slash pines","3","22","3","1840189.96036218"
"Softwood","1","Longleaf and slash pines","11","22","3","680002.20590681"
"Softwood","1","Longleaf and slash pines","115","22","3","162856.619389905"
"Softwood","1","Longleaf and slash pines","127","28","3","90787.9018911297"
"Softwood","1","Longleaf and slash pines","131","28","4","88592.8306294642"
"Softwood","1","Longleaf and slash pines","17","37","1","682505.923493027"
"Softwood","1","Longleaf and slash pines","3","45","1","109838.645661461"
"Softwood","1","Longleaf and slash pines","455","48","1","494713.103597424"
"Softwood","9","Other eastern softwoods","47","1","3","146711.056203564"
"Softwood","9","Other eastern softwoods","123","1","3","145856.05037316"
"Softwood","9","Other eastern softwoods","125","1","4","280775.975069917"
"Softwood","9","Other eastern softwoods","61","5","3","139124.099060668"
"Softwood","9","Other eastern softwoods","133","5","3","139124.099060668"
"Softwood","9","Other eastern softwoods","105","5","4","137983.306824371"
"Softwood","9","Other eastern softwoods","137","5","5","440411.476559741"
"Softwood","9","Other eastern softwoods","111","22","5","116737.238950564"
"Softwood","9","Other eastern softwoods","155","28","2","94083.5233003523"
"Softwood","9","Other eastern softwoods","37","37","3","138076.77423305"
"Softwood","9","Other eastern softwoods","63","45","1","253847.790507719"
"Softwood","9","Other eastern softwoods","7","45","3","140088.276941789"
"Softwood","9","Other eastern softwoods","39","45","3","401689.36635307"
"Softwood","9","Other eastern softwoods","71","45","3","218925.044934164"
"Softwood","9","Other eastern softwoods","7","51","2","141102.42775238"
"Softwood","3","Other yellow pines","23","1","2","70134.7642555838"
"Softwood","3","Other yellow pines","21","1","3","1254953.85317839"
"Softwood","3","Other yellow pines","73","1","5","103577.312136495"
"Softwood","3","Other yellow pines","39","12","2","24716.6123034779"
"Softwood","3","Other yellow pines","15","13","5","42432.6202165089"
"Softwood","3","Other yellow pines","17","37","1","93447.282113768"
"Softwood","3","Other yellow pines","133","37","1","100604.618070636"
"Softwood","3","Other yellow pines","89","51","2","255933.512845567"
"Softwood","6","Spruce and balsam fir","137","27","1","89006.1856729337"
"Softwood","23","Woodland softwoods","207","48","6","260835.371813022"
