stateAbbr,statecd,unitcd,priceRegion,spcd,spname,spgrpcd,spclass,Product,size_class_code,size_class_range,volume
AL,01,01,02,121,longleaf pine,1,Coniferous,Sawtimber,0017,33.0-34.9,0.0
AL,01,01,02,121,longleaf pine,1,Coniferous,Sawtimber,0018,35.0-36.9,0.0
AL,01,01,02,131,loblolly pine,2,Coniferous,Pulpwood,0003,5.0-6.9,2897333338.095472
AL,01,01,02,131,loblolly pine,2,Coniferous,Pulpwood,0004,7.0-8.9,5034250505.365957
AL,01,01,02,131,loblolly pine,2,Coniferous,Pulpwood,0005,9.0-10.9,6562824627.949507
AL,01,01,02,131,loblolly pine,2,Coniferous,Pulpwood,0006,11.0-12.9,5880436450.651784
AL,01,01,02,131,loblolly pine,2,Coniferous,Sawtimber,0007,13.0-14.9,4424461319.938854
AL,01,01,02,131,loblolly pine,2,Coniferous,Sawtimber,0008,15.0-16.9,2968652396.879745
AL,01,01,02,131,loblolly pine,2,Coniferous,Sawtimber,0009,17.0-18.9,1876415310.037992
AL,01,01,02,131,loblolly pine,2,Coniferous,Sawtimber,0010,19.0-20.9,1715638923.514322
AL,01,01,02,131,loblolly pine,2,Coniferous,Sawtimber,0011,21.0-22.9,315041879.018369
AL,01,01,02,131,loblolly pine,2,Coniferous,Sawtimber,0012,23.0-24.9,543031219.681419
AL,01,01,02,131,loblolly pine,2,Coniferous,Sawtimber,0013,25.0-26.9,179924037.53106272
AL,01,01,02,131,loblolly pine,2,Coniferous,Sawtimber,0014,27.0-28.9,0.0
AL,01,01,02,131,loblolly pine,2,Coniferous,Sawtimber,0015,29.0-30.9,102826241.78935
AL,01,01,02,131,loblolly pine,2,Coniferous,Sawtimber,0016,31.0-32.9,0.0
AL,01,01,02,131,loblolly pine,2,Coniferous,Sawtimber,0017,33.0-34.9,0.0
AL,01,01,02,131,loblolly pine,2,Coniferous,Sawtimber,0018,35.0-36.9,0.0
AL,01,01,02,132,Virginia pine,3,Coniferous,Pulpwood,0003,5.0-6.9,0.0
AL,01,01,02,132,Virginia pine,3,Coniferous,Pulpwood,0004,7.0-8.9,0.0
AL,01,01,02,132,Virginia pine,3,Coniferous,Pulpwood,0005,9.0-10.9,0.0
AL,01,01,02,132,Virginia pine,3,Coniferous,Pulpwood,0006,11.0-12.9,0.0
AL,01,01,02,132,Virginia pine,3,Coniferous,Sawtimber,0007,13.0-14.9,16480642.4805271
AL,01,01,02,132,Virginia pine,3,Coniferous,Sawtimber,0008,15.0-16.9,0.0
AL,01,01,02,132,Virginia pine,3,Coniferous,Sawtimber,0009,17.0-18.9,0.0
AL,01,01,02,132,Virginia pine,3,Coniferous,Sawtimber,0010,19.0-20.9,0.0
AL,01,01,02,132,Virginia pine,3,Coniferous,Sawtimber,0011,21.0-22.9,0.0
AL,01,01,02,132,Virginia pine,3,Coniferous,Sawtimber,0012,23.0-24.9,0.0
AL,01,01,02,132,Virginia pine,3,Coniferous,Sawtimber,0013,25.0-26.9,0.0
AL,01,01,02,132,Virginia pine,3,Coniferous,Sawtimber,0014,27.0-28.9,0.0
AL,01,01,02,132,Virginia pine,3,Coniferous,Sawtimber,0015,29.0-30.9,0.0
AL,01,01,02,132,Virginia pine,3,Coniferous,Sawtimber,0016,31.0-32.9,0.0
AL,01,01,02,132,Virginia pine,3,Coniferous,Sawtimber,0017,33.0-34.9,0.0
AL,01,01,02,132,Virginia pine,3,Coniferous,Sawtimber,0018,35.0-36.9,0.0
AL,01,01,02,221,baldcypress,8,Coniferous,Pulpwood,0003,5.0-6.9,39654670.73690784
AL,01,01,02,221,baldcypress,8,Coniferous,Pulpwood,0004,7.0-8.9,82127102.51601219
AL,01,01,02,221,baldcypress,8,Coniferous,Pulpwood,0005,9.0-10.9,128217945.4647569
AL,01,01,02,221,baldcypress,8,Coniferous,Pulpwood,0006,11.0-12.9,232946105.8712366
AL,01,01,02,221,baldcypress,8,Coniferous,Sawtimber,0007,13.0-14.9,301974333.4288461
AL,01,01,02,221,baldcypress,8,Coniferous,Sawtimber,0008,15.0-16.9,109367238.46140319
AL,01,01,02,221,baldcypress,8,Coniferous,Sawtimber,0009,17.0-18.9,223862149.5513013
AL,01,01,02,221,baldcypress,8,Coniferous,Sawtimber,0010,19.0-20.9,254400755.25030172
AL,01,01,02,221,baldcypress,8,Coniferous,Sawtimber,0011,21.0-22.9,121368331.01652479
AL,01,01,02,221,baldcypress,8,Coniferous,Sawtimber,0012,23.0-24.9,153066092.38362437
AL,01,01,02,221,baldcypress,8,Coniferous,Sawtimber,0013,25.0-26.9,45361267.7567977
AL,01,01,02,221,baldcypress,8,Coniferous,Sawtimber,0014,27.0-28.9,142498348.070738
AL,01,01,02,221,baldcypress,8,Coniferous,Sawtimber,0015,29.0-30.9,78638200.5948137
AL,01,01,02,221,baldcypress,8,Coniferous,Sawtimber,0016,31.0-32.9,0.0
AL,01,01,02,221,baldcypress,8,Coniferous,Sawtimber,0017,33.0-34.9,0.0
AL,01,01,02,221,baldcypress,8,Coniferous,Sawtimber,0018,35.0-36.9,0.0
AL,01,01,02,403,pignut hickory,29,Non-coniferous,Pulpwood,0003,5.0-6.9,7246056.4949132
AL,01,01,02,403,pignut hickory,29,Non-coniferous,Pulpwood,0004,7.0-8.9,4767115.85710513
AL,01,01,02,403,pignut hickory,29,Non-coniferous,Pulpwood,0005,9.0-10.9,16399640.9804379
AL,01,01,02,403,pignut hickory,29,Non-coniferous,Pulpwood,0006,11.0-12.9,52138331.9644131
AL,01,01,02,403,pignut hickory,29,Non-coniferous,Sawtimber,0007,13.0-14.9,0.0
AL,01,01,02,403,pignut hickory,29,Non-coniferous,Sawtimber,0008,15.0-16.9,0.0
AL,01,01,02,403,pignut hickory,29,Non-coniferous,Sawtimber,0009,17.0-18.9,0.0
AL,01,01,02,403,pignut hickory,29,Non-coniferous,Sawtimber,0010,19.0-20.9,0.0
AL,01,01,02,403,pignut hickory,29,Non-coniferous,Sawtimber,0011,21.0-22.9,0.0
AL,01,01,02,403,pignut hickory,29,Non-coniferous,Sawtimber,0012,23.0-24.9,0.0
AL,01,01,02,403,pignut hickory,29,Non-coniferous,Sawtimber,0013,25.0-26.9,0.0
AL,01,01,02,403,pignut hickory,29,Non-coniferous,Sawtimber,0014,27.0-28.9,0.0
AL,01,01,02,403,pignut hickory,29,Non-coniferous,Sawtimber,0015,29.0-30.9,0.0
AL,01,01,02,403,pignut hickory,29,Non-coniferous,Sawtimber,0016,31.0-32.9,0.0
AL,01,01,02,403,pignut hickory,29,Non-coniferous,Sawtimber,0017,33.0-34.9,0.0
AL,01,01,02,403,pignut hickory,29,Non-coniferous,Sawtimber,0018,35.0-36.9,0.0
AL,01,01,02,404,pecan,29,Non-coniferous,Pulpwood,0003,5.0-6.9,14604439.5659288
AL,01,01,02,404,pecan,29,Non-coniferous,Pulpwood,0004,7.0-8.9,0.0
AL,01,01,02,404,pecan,29,Non-coniferous,Pulpwood,0005,9.0-10.9,19084018.3717753
AL,01,01,02,404,pecan,29,Non-coniferous,Pulpwood,0006,11.0-12.9,42728104.3945662
AL,01,01,02,404,pecan,29,Non-coniferous,Sawtimber,0007,13.0-14.9,52699122.6020537
AL,01,01,02,404,pecan,29,Non-coniferous,Sawtimber,0008,15.0-16.9,101520933.941403
AL,01,01,02,404,pecan,29,Non-coniferous,Sawtimber,0009,17.0-18.9,39369976.4442383
AL,01,01,02,404,pecan,29,Non-coniferous,Sawtimber,0010,19.0-20.9,60246437.1456619
AL,01,01,02,404,pecan,29,Non-coniferous,Sawtimber,0011,21.0-22.9,0.0
AL,01,01,02,404,pecan,29,Non-coniferous,Sawtimber,0012,23.0-24.9,0.0
AL,01,01,02,404,pecan,29,Non-coniferous,Sawtimber,0013,25.0-26.9,0.0
AL,01,01,02,404,pecan,29,Non-coniferous,Sawtimber,0014,27.0-28.9,0.0
AL,01,01,02,404,pecan,29,Non-coniferous,Sawtimber,0015,29.0-30.9,0.0
AL,01,01,02,404,pecan,29,Non-coniferous,Sawtimber,0016,31.0-32.9,0.0
AL,01,01,02,404,pecan,29,Non-coniferous,Sawtimber,0017,33.0-34.9,124187315.725397
AL,01,01,02,404,pecan,29,Non-coniferous,Sawtimber,0018,35.0-36.9,0.0
AL,01,01,02,407,shagbark hickory,29,Non-coniferous,Pulpwood,0003,5.0-6.9,2554098.64867918
AL,01,01,02,407,shagbark hickory,29,Non-coniferous,Pulpwood,0004,7.0-8.9,0.0
AL,01,01,02,407,shagbark hickory,29,Non-coniferous,Pulpwood,0005,9.0-10.9,0.0
AL,01,01,02,407,shagbark hickory,29,Non-coniferous,Pulpwood,0006,11.0-12.9,0.0
AL,01,01,02,407,shagbark hickory,29,Non-coniferous,Sawtimber,0007,13.0-14.9,0.0
AL,01,01,02,407,shagbark hickory,29,Non-coniferous,Sawtimber,0008,15.0-16.9,40051850.7867841
AL,01,01,02,407,shagbark hickory,29,Non-coniferous,Sawtimber,0009,17.0-18.9,0.0
AL,01,01,02,407,shagbark hickory,29,Non-coniferous,Sawtimber,0010,19.0-20.9,0.0
AL,01,01,02,407,shagbark hickory,29,Non-coniferous,Sawtimber,0011,21.0-22.9,0.0
AL,01,01,02,407,shagbark hickory,29,Non-coniferous,Sawtimber,0012,23.0-24.9,0.0
AL,01,01,02,407,shagbark hickory,29,Non-coniferous,Sawtimber,0013,25.0-26.9,0.0
AL,01,01,02,407,shagbark hickory,29,Non-coniferous,Sawtimber,0014,27.0-28.9,0.0
AL,01,01,02,407,shagbark hickory,29,Non-coniferous,Sawtimber,0015,29.0-30.9,0.0
AL,01,01,02,407,shagbark hickory,29,Non-coniferous,Sawtimber,0016,31.0-32.9,0.0
AL,01,01,02,407,shagbark hickory,29,Non-coniferous,Sawtimber,0017,33.0-34.9,0.0
AL,01,01,02,407,shagbark hickory,29,Non-coniferous,Sawtimber,0018,35.0-36.9,0.0
AL,01,01,02,409,mockernut hickory,29,Non-coniferous,Pulpwood,0003,5.0-6.9,14340903.24652692
AL,01,01,02,409,mockernut hickory,29,Non-coniferous,Pulpwood,0004,7.0-8.9,24443724.64077402
AL,01,01,02,409,mockernut hickory,29,Non-coniferous,Pulpwood,0005,9.0-10.9,8865583.23207946
AL,01,01,02,409,mockernut hickory,29,Non-coniferous,Pulpwood,0006,11.0-12.9,13923499.7109081
AL,01,01,02,409,mockernut hickory,29,Non-coniferous,Sawtimber,0007,13.0-14.9,25830588.4170402
AL,01,01,02,409,mockernut hickory,29,Non-coniferous,Sawtimber,0008,15.0-16.9,51768235.587777
AL,01,01,02,409,mockernut hickory,29,Non-coniferous,Sawtimber,0009,17.0-18.9,0.0
AL,01,01,02,409,mockernut hickory,29,Non-coniferous,Sawtimber,0010,19.0-20.9,61250281.120983
AL,01,01,02,409,mockernut hickory,29,Non-coniferous,Sawtimber,0011,21.0-22.9,0.0
AL,01,01,02,409,mockernut hickory,29,Non-coniferous,Sawtimber,0012,23.0-24.9,0.0
AL,01,01,02,409,mockernut hickory,29,Non-coniferous,Sawtimber,0013,25.0-26.9,0.0
AL,01,01,02,409,mockernut hickory,29,Non-coniferous,Sawtimber,0014,27.0-28.9,0.0
AL,01,01,02,409,mockernut hickory,29,Non-coniferous,Sawtimber,0015,29.0-30.9,0.0
AL,01,01,02,409,mockernut hickory,29,Non-coniferous,Sawtimber,0016,31.0-32.9,0.0
AL,01,01,02,409,mockernut hickory,29,Non-coniferous,Sawtimber,0017,33.0-34.9,0.0
