fips,statecd,priceRegion,unitcd
22053,22,01,03
22055,22,02,02
22057,22,02,02
22059,22,01,03
22061,22,01,05
22063,22,02,04
22065,22,01,01
22067,22,01,01
22069,22,01,03
22071,22,02,02
22073,22,01,05
22075,22,02,02
22077,22,02,02
22079,22,01,03
22081,22,01,05
22083,22,01,01
22085,22,01,03
22087,22,02,02
22089,22,02,02
22091,22,02,04
22093,22,02,02
22095,22,02,02
22097,22,03,02
22099,22,02,02
22101,22,02,02
22103,22,02,04
22105,22,02,04
22107,22,01,01
22109,22,02,02
22111,22,01,05
22113,22,02,02
22115,22,01,03
22117,22,02,04
22119,22,01,05
22121,22,02,02
22123,22,01,01
22125,22,02,02
22127,22,01,05
28001,28,02,05
28003,28,01,02
28005,28,02,05
28007,28,01,03
28009,28,01,02
28011,28,01,01
28013,28,01,02
28015,28,01,02
28017,28,01,02
28019,28,01,02
28021,28,02,05
28023,28,02,03
28025,28,01,02
28027,28,01,01
28029,28,02,05
28031,28,02,04
28033,28,01,02
28035,28,02,04
28037,28,02,05
28039,28,02,04
28041,28,02,04
28043,28,01,02
28045,28,02,04
28047,28,02,04
28049,28,02,05
28051,28,01,01
28053,28,01,01
28055,28,01,01
28057,28,01,02
28059,28,02,04
28061,28,02,03
28063,28,02,05
28065,28,02,04
28067,28,02,04
28069,28,01,03
28071,28,01,02
28073,28,02,04
28075,28,02,03
28077,28,02,04
28079,28,01,03
28081,28,01,02
28083,28,01,01
28085,28,02,05
28087,28,01,02
28089,28,01,05
28091,28,02,04
28093,28,01,02
28095,28,01,02
28097,28,01,02
28099,28,01,03
28101,28,02,03
28103,28,01,03
28105,28,01,02
28107,28,01,02
28109,28,02,04
28111,28,02,04
28113,28,02,05
28115,28,01,02
28117,28,01,02
28119,28,01,01
28121,28,02,03
28123,28,02,03
28125,28,01,01
28127,28,02,03
28129,28,02,03
28131,28,02,04
28133,28,01,01
28135,28,01,01
28137,28,01,02
28139,28,01,02
28141,28,01,02
28143,28,01,01
28145,28,01,02
28147,28,02,04
28149,28,01,01
28151,28,01,01
28153,28,02,04
28155,28,01,02
28157,28,02,05
28159,28,01,03
28161,28,01,02
28163,28,01,01
37001,37,02,03
37003,37,01,03
37005,37,01,04
37007,37,02,03
37009,37,01,04
37011,37,01,04
37013,37,02,02
37015,37,02,02
37017,37,02,01
37019,37,02,01
37021,37,01,04
37023,37,01,04
37025,37,01,03
37027,37,01,04
37029,37,02,02
37031,37,02,02
37033,37,02,03
37035,37,01,03
37037,37,02,03
37039,37,01,04
37041,37,02,02
37043,37,01,04
37045,37,01,03
37047,37,02,01
37049,37,02,02
37051,37,02,01
37053,37,02,02
37055,37,02,02
37057,37,01,03
37059,37,01,03
37061,37,02,01
37063,37,02,03
37065,37,02,02
37067,37,01,03
37069,37,02,03
37071,37,01,03
37073,37,02,02
37075,37,01,04
37077,37,02,03
37079,37,02,01
37081,37,03,03
37083,37,02,02
37085,37,02,01
37087,37,01,04
37089,37,01,04
37091,37,02,02
37093,37,02,01
37095,37,02,02
37097,37,01,03
37099,37,01,04
37101,37,02,01
37103,37,02,01
37105,37,02,01
37107,37,02,01
37109,37,01,03
37111,37,01,04
37113,37,01,04
37115,37,01,04
37117,37,02,02
37119,37,01,03
37121,37,01,04
37123,37,02,03
37125,37,02,01
37127,37,02,02
37129,37,02,01
37131,37,02,02
37133,37,02,01
37135,37,02,03
37137,37,02,02
37139,37,02,02
37141,37,02,01
37143,37,02,02
37145,37,02,03
37147,37,02,02
37149,37,01,03
37151,37,02,03
37153,37,02,01
37155,37,02,01
37157,37,03,03
37159,37,01,03
37161,37,01,03
37163,37,02,01
37165,37,02,01
37167,37,02,03
37169,37,01,03
37171,37,01,03
37173,37,01,04
37175,37,01,04
37177,37,02,02
37179,37,02,03
37181,37,02,03
37183,37,02,03
37185,37,02,03
37187,37,02,02
37189,37,01,04
37191,37,02,01
37193,37,01,04
37195,37,02,02
37197,37,01,03
37199,37,01,04
40001,40,02,
40005,40,02,
40013,40,02,
40021,40,02,
40023,40,01,
40029,40,02,
40041,40,02,
40061,40,01,
40077,40,01,
40079,40,01,
40089,40,01,
40091,40,02,
40097,40,02,
40101,40,03,
40115,40,02,
40121,40,02,
40127,40,01,
40135,40,01,
45001,45,02,03
45003,45,02,01
45005,45,02,01
45007,45,01,03
45009,45,02,01
45011,45,02,01
45013,45,02,01
45015,45,02,02
45017,45,02,01
45019,45,02,02
45021,45,01,03
45023,45,02,03
45025,45,02,02
45027,45,02,02
45029,45,02,01
45031,45,02,02
45033,45,02,02
45035,45,02,01
45037,45,02,03
45039,45,02,03
45041,45,02,02
45043,45,02,02
45045,45,01,03
45047,45,02,03
45049,45,02,01
45051,45,02,02
45053,45,02,01
45055,45,02,02
45057,45,02,03
45059,45,02,03
45061,45,02,02
45063,45,02,01
45065,45,02,03
45067,45,02,02
45069,45,02,02
45071,45,02,03
45073,45,01,03
45075,45,02,01
45077,45,01,03
45079,45,02,02
45081,45,02,03
45083,45,01,03
45085,45,02,02
45087,45,02,03
45089,45,02,02
45091,45,01,03
47001,47,01,05
47003,47,02,03
47005,47,02,02
47007,47,01,04
47009,47,01,05
47011,47,01,05
47013,47,01,04
47015,47,02,03
47017,47,02,01
47019,47,01,05
47021,47,02,03
47023,47,02,01
47025,47,01,05
47027,47,01,03
47029,47,01,05
47031,47,03,03
47033,47,02,01
47035,47,01,04
47037,47,02,03
47039,47,02,02
47041,47,02,03
47043,47,02,03
47045,47,02,01
47047,47,02,01
47049,47,01,04
47051,47,03,04
47053,47,02,01
47055,47,02,03
47057,47,01,05
47059,47,01,05
47061,47,01,04
47063,47,01,05
47065,47,01,05
47067,47,01,05
47069,47,02,01
47071,47,02,02
47073,47,01,05
47075,47,02,01
47077,47,02,01
47079,47,02,01
47081,47,02,02
47083,47,02,02
47085,47,02,02
47087,47,01,03
47089,47,01,05
47091,47,01,05
47093,47,01,05
47095,47,02,01
47097,47,02,01
47099,47,02,02
47101,47,02,02
47103,47,02,03
47105,47,01,05
47107,47,01,05
47109,47,02,01
47111,47,02,03
47113,47,02,01
47115,47,01,04
47117,47,02,03
47119,47,02,03
47121,47,01,05
47123,47,01,05
47125,47,02,03
47127,47,02,03
47129,47,01,04
47131,47,02,01
47133,47,01,04
47135,47,02,02
47137,47,01,04
47139,47,01,05
47141,47,01,04
47143,47,01,05
47145,47,01,05
47147,47,02,03
47149,47,02,03
47151,47,01,04
47153,47,01,04
47155,47,01,05
47157,47,02,01
47159,47,02,03
47161,47,02,02
47163,47,01,05
47165,47,02,03
47167,47,02,01
47169,47,02,03
47171,47,01,05
47173,47,01,05
47175,47,01,04
47177,47,01,04
47179,47,01,05
47181,47,02,02
47183,47,02,01
47185,47,01,04
47187,47,02,03
47189,47,02,03
48001,48,02,02
48005,48,02,01
48037,48,01,02
48039,48,02,04
48063,48,01,02
48067,48,01,02
48071,48,02,01
48073,48,02,02
48119,48,01,03
48157,48,02,04
48159,48,01,02
48167,48,02,04
48183,48,01,02
48185,48,02,01
48199,48,02,01
48201,48,02,01
48203,48,01,02
48213,48,01,02
48223,48,01,03
48225,48,02,01
48241,48,02,01
48245,48,02,01
48277,48,01,03
48289,48,02,01
48291,48,02,01
48313,48,02,01
48315,48,01,02
48321,48,02,04
48339,48,02,01
48343,48,01,02
48347,48,02,02
48351,48,02,01
48361,48,02,01
48365,48,01,02
48373,48,02,01
48379,48,01,03
48387,48,01,02
48401,48,01,02
48403,48,02,01
48405,48,02,01
48407,48,02,01
48419,48,02,02
48423,48,01,02
48449,48,01,02
48455,48,02,01
48457,48,02,01
48459,48,01,02
48467,48,01,02
48471,48,02,01
48473,48,02,01
48499,48,01,02
51001,51,02,01
51003,51,01,03
51005,51,01,04
51007,51,02,02
51009,51,01,03
51011,51,02,02
51013,51,02,03
51015,51,01,04
51017,51,01,04
51019,51,01,02
51021,51,01,05
51023,51,01,04
51025,51,02,01
51027,51,01,05
51029,51,02,02
51031,51,02,02
51033,51,02,01
51035,51,01,05
51036,51,02,01
51037,51,02,02
51041,51,02,01
51043,51,01,04
51045,51,01,04
51047,51,02,03
51049,51,02,02
51051,51,01,05
51053,51,02,01
51057,51,02,01
51059,51,02,03
51061,51,02,03
51063,51,01,05
51065,51,02,03
51067,51,01,02
51069,51,01,04
51071,51,01,05
51073,51,02,01
51075,51,02,03
51077,51,01,05
51079,51,01,03
51081,51,02,01
51083,51,02,02
51085,51,02,01
51087,51,02,01
51089,51,01,02
51091,51,01,04
51093,51,02,01
51095,51,02,01
51097,51,02,01
51099,51,02,01
51101,51,02,01
51103,51,02,01
51105,51,01,05
51107,51,01,03
51109,51,02,03
51111,51,02,02
51113,51,01,03
51115,51,02,01
51117,51,02,02
51119,51,02,01
51121,51,01,05
51125,51,01,03
51127,51,02,01
51131,51,02,01
51133,51,02,01
51135,51,02,02
51137,51,02,03
51139,51,01,04
51141,51,01,02
51143,51,02,02
51145,51,02,02
51147,51,02,02
51149,51,02,01
51153,51,02,03
51155,51,01,05
51157,51,01,03
51159,51,02,01
51161,51,01,04
51163,51,01,04
51165,51,01,04
51167,51,01,05
51169,51,01,05
51171,51,01,04
51173,51,01,05
51175,51,02,01
51177,51,02,03
51179,51,02,03
51181,51,02,01
51183,51,02,01
51185,51,01,05
51187,51,01,04
51191,51,01,05
51193,51,02,01
51195,51,01,05
51197,51,01,05
51199,51,02,01
51550,51,02,01
51650,51,02,01
51700,51,02,01
51800,51,02,01
51810,51,02,01
26001,26,01,03
26007,26,01,03
26009,26,01,03
26011,26,01,03
26017,26,01,03
26019,26,01,03
26029,26,01,03
26031,26,01,03
26035,26,01,03
26039,26,01,03
26047,26,01,03
26051,26,01,03
26055,26,01,03
26069,26,01,03
26073,26,01,03
26079,26,01,03
26085,26,01,03
26089,26,01,03
26101,26,01,03
26105,26,01,03
26107,26,01,03
26111,26,01,03
26113,26,01,03
26119,26,01,03
26123,26,01,03
26127,26,01,03
26129,26,01,03
26133,26,01,03
26135,26,01,03
26137,26,01,03
26141,26,01,03
26143,26,01,03
26165,26,01,03
26003,26,02,01
26033,26,02,01
26041,26,02,01
26095,26,02,01
26097,26,02,01
26153,26,02,01
26013,26,03,02
26043,26,03,02
26053,26,03,02
26061,26,03,02
26071,26,03,02
26083,26,03,02
26103,26,03,02
26109,26,03,01
26131,26,03,02
27003,27,01,03
27009,27,01,03
27013,27,01,04
27019,27,01,03
27037,27,01,03
27039,27,01,04
27041,27,01,03
27043,27,01,04
27045,27,01,03
27047,27,01,04
27049,27,01,03
27053,27,01,03
27055,27,01,03
27067,27,01,04
27079,27,01,03
27085,27,01,04
27093,27,01,04
27099,27,01,04
27103,27,01,04
27109,27,01,03
27111,27,01,03
27121,27,01,04
27123,27,01,03
27129,27,01,04
27131,27,01,03
27139,27,01,03
27141,27,01,03
27143,27,01,04
27145,27,01,03
27147,27,01,04
27153,27,01,03
27157,27,01,03
27161,27,01,04
27163,27,01,03
27169,27,01,03
27171,27,01,03
27001,27,02,02
27005,27,02,02
27007,27,02,02
27017,27,02,01
27021,27,02,02
27025,27,02,03
27029,27,02,02
27031,27,02,01
27035,27,02,02
27057,27,02,02
27059,27,02,03
27061,27,02,02
27065,27,02,03
27069,27,02,04
27071,27,02,01
27075,27,02,01
27077,27,02,02
27087,27,02,02
27089,27,02,04
27095,27,02,03
27097,27,02,03
27107,27,02,04
27113,27,02,04
27115,27,02,03
27119,27,02,04
27125,27,02,04
27135,27,02,02
27137,27,02,01
27159,27,02,02
55001,55,01,03
55021,55,01,05
55023,55,01,04
55025,55,01,05
55027,55,01,05
55039,55,01,05
55043,55,01,04
55045,55,01,05
55047,55,01,05
55049,55,01,04
55055,55,01,05
55057,55,01,03
55059,55,01,05
55063,55,01,04
55065,55,01,04
55077,55,01,03
55079,55,01,05
55081,55,01,03
55089,55,01,05
55101,55,01,05
55103,55,01,04
55105,55,01,05
55111,55,01,04
55117,55,01,05
55123,55,01,04
55127,55,01,05
55131,55,01,05
55133,55,01,05
55009,55,02,05
55015,55,02,05
55029,55,02,05
55037,55,02,01
55041,55,02,01
55061,55,02,05
55067,55,02,01
55071,55,02,05
55075,55,02,01
55078,55,02,01
55083,55,02,01
55085,55,02,01
55087,55,02,05
55115,55,02,01
55125,55,02,01
55135,55,02,03
55137,55,02,03
55139,55,02,05
55003,55,03,02
55005,55,03,02
55007,55,03,02
55011,55,03,04
55013,55,03,02
55017,55,03,03
55019,55,03,03
55031,55,03,02
55033,55,03,04
55035,55,03,03
55051,55,03,02
55053,55,03,03
55069,55,03,01
55073,55,03,03
55091,55,03,04
55093,55,03,04
55095,55,03,02
55097,55,03,03
55099,55,03,02
55107,55,03,02
55109,55,03,04
55113,55,03,02
55119,55,03,02
55121,55,03,04
55129,55,03,02
55141,55,03,03
