   ,GRP1,GRP2,ESTIMATE
841,`1568 SPCD 766 - American plum (Prunus americana),`0025 28 Mississippi,
842,`1568 SPCD 766 - American plum (Prunus americana),`0034 37 North Carolina,
843,`1568 SPCD 766 - American plum (Prunus americana),`0037 40 Oklahoma,
844,`1568 SPCD 766 - American plum (Prunus americana),`0041 45 South Carolina,8550.328046
845,`1568 SPCD 766 - American plum (Prunus americana),`0043 47 Tennessee,
846,`1568 SPCD 766 - American plum (Prunus americana),`0047 51 Virginia,
847,`1595 SPCD 770 - Chickasaw plum (Prunus angustifolia),`0011 13 Georgia,
848,`1595 SPCD 770 - Chickasaw plum (Prunus angustifolia),`0037 40 Oklahoma,
849,`1595 SPCD 770 - Chickasaw plum (Prunus angustifolia),`0047 51 Virginia,
850,`1602 SPCD 771 - sweet cherry (Prunus avium),`0034 37 North Carolina,
851,`1602 SPCD 771 - sweet cherry (Prunus avium),`0043 47 Tennessee,
852,`1602 SPCD 771 - sweet cherry (Prunus avium),`0047 51 Virginia,0
853,`1703 SPCD 7845 - Morella cerifera (Morella cerifera),`0011 13 Georgia,
854,`1703 SPCD 7845 - Morella cerifera (Morella cerifera),`0041 45 South Carolina,
855,`1817 SPCD 800 - oak spp. (Quercus spp.),`0037 40 Oklahoma,
856,`1817 SPCD 800 - oak spp. (Quercus spp.),`0047 51 Virginia,
857,`1833 SPCD 802 - white oak (Quercus alba),`0001 01 Alabama,20621177.8
858,`1833 SPCD 802 - white oak (Quercus alba),`0004 05 Arkansas,27712869.81
859,`1833 SPCD 802 - white oak (Quercus alba),`0011 13 Georgia,8820364.253
860,`1833 SPCD 802 - white oak (Quercus alba),`0018 21 Kentucky,35500562.71
861,`1833 SPCD 802 - white oak (Quercus alba),`0025 28 Mississippi,11659804.18
862,`1833 SPCD 802 - white oak (Quercus alba),`0034 37 North Carolina,21282010.67
863,`1833 SPCD 802 - white oak (Quercus alba),`0037 40 Oklahoma,2538632.762
864,`1833 SPCD 802 - white oak (Quercus alba),`0041 45 South Carolina,12169156.28
865,`1833 SPCD 802 - white oak (Quercus alba),`0043 47 Tennessee,40689834.59
866,`1833 SPCD 802 - white oak (Quercus alba),`0047 51 Virginia,40998437.38
867,`1847 SPCD 804 - swamp white oak (Quercus bicolor),`0001 01 Alabama,
868,`1847 SPCD 804 - swamp white oak (Quercus bicolor),`0018 21 Kentucky,
869,`1847 SPCD 804 - swamp white oak (Quercus bicolor),`0034 37 North Carolina,
870,`1847 SPCD 804 - swamp white oak (Quercus bicolor),`0041 45 South Carolina,
871,`1847 SPCD 804 - swamp white oak (Quercus bicolor),`0043 47 Tennessee,
872,`1847 SPCD 804 - swamp white oak (Quercus bicolor),`0047 51 Virginia,
873,`1861 SPCD 806 - scarlet oak (Quercus coccinea),`0001 01 Alabama,3787796.964
874,`1861 SPCD 806 - scarlet oak (Quercus coccinea),`0011 13 Georgia,2237991.314
875,`1861 SPCD 806 - scarlet oak (Quercus coccinea),`0018 21 Kentucky,8255169.429
876,`1861 SPCD 806 - scarlet oak (Quercus coccinea),`0025 28 Mississippi,127002.814
877,`1861 SPCD 806 - scarlet oak (Quercus coccinea),`0034 37 North Carolina,5424929.279
878,`1861 SPCD 806 - scarlet oak (Quercus coccinea),`0041 45 South Carolina,1400867.707
879,`1861 SPCD 806 - scarlet oak (Quercus coccinea),`0043 47 Tennessee,14770590.35
880,`1861 SPCD 806 - scarlet oak (Quercus coccinea),`0047 51 Virginia,12122316.14
881,`1883 SPCD 808 - Durand oak (Quercus sinuata),`0001 01 Alabama,1033317.275
882,`1883 SPCD 808 - Durand oak (Quercus sinuata),`0011 13 Georgia,61678.23869
883,`1883 SPCD 808 - Durand oak (Quercus sinuata),`0025 28 Mississippi,
884,`1893 SPCD 809 - northern pin oak (Quercus ellipsoidalis),`0043 47 Tennessee,
885,`1893 SPCD 809 - northern pin oak (Quercus ellipsoidalis),`0047 51 Virginia,
886,`1912 SPCD 812 - southern red oak (Quercus falcata),`0001 01 Alabama,16730302.94
887,`1912 SPCD 812 - southern red oak (Quercus falcata),`0004 05 Arkansas,11433013.83
888,`1912 SPCD 812 - southern red oak (Quercus falcata),`0011 13 Georgia,8537709.326
889,`1912 SPCD 812 - southern red oak (Quercus falcata),`0018 21 Kentucky,1730772.737
890,`1912 SPCD 812 - southern red oak (Quercus falcata),`0025 28 Mississippi,11617228.8
891,`1912 SPCD 812 - southern red oak (Quercus falcata),`0034 37 North Carolina,10128072.08
892,`1912 SPCD 812 - southern red oak (Quercus falcata),`0037 40 Oklahoma,3791209.327
893,`1912 SPCD 812 - southern red oak (Quercus falcata),`0041 45 South Carolina,4068657.871
894,`1912 SPCD 812 - southern red oak (Quercus falcata),`0043 47 Tennessee,8873776.63
895,`1912 SPCD 812 - southern red oak (Quercus falcata),`0047 51 Virginia,10984339.6
896,`1918 SPCD 813 - cherrybark oak (Quercus pagoda),`0001 01 Alabama,2880248.609
897,`1918 SPCD 813 - cherrybark oak (Quercus pagoda),`0004 05 Arkansas,8164414.17
898,`1918 SPCD 813 - cherrybark oak (Quercus pagoda),`0011 13 Georgia,996692.4052
899,`1918 SPCD 813 - cherrybark oak (Quercus pagoda),`0018 21 Kentucky,1105830.628
900,`1918 SPCD 813 - cherrybark oak (Quercus pagoda),`0025 28 Mississippi,10272379.59
901,`1918 SPCD 813 - cherrybark oak (Quercus pagoda),`0034 37 North Carolina,1850334.301
902,`1918 SPCD 813 - cherrybark oak (Quercus pagoda),`0037 40 Oklahoma,
903,`1918 SPCD 813 - cherrybark oak (Quercus pagoda),`0041 45 South Carolina,3283338.266
904,`1918 SPCD 813 - cherrybark oak (Quercus pagoda),`0043 47 Tennessee,1370758.809
905,`1918 SPCD 813 - cherrybark oak (Quercus pagoda),`0047 51 Virginia,583632.2264
906,`1937 SPCD 816 - scrub oak (Quercus ilicifolia),`0041 45 South Carolina,
907,`1937 SPCD 816 - scrub oak (Quercus ilicifolia),`0047 51 Virginia,
908,`1943 SPCD 817 - shingle oak (Quercus imbricaria),`0004 05 Arkansas,
909,`1943 SPCD 817 - shingle oak (Quercus imbricaria),`0018 21 Kentucky,12716.81894
910,`1943 SPCD 817 - shingle oak (Quercus imbricaria),`0034 37 North Carolina,
911,`1943 SPCD 817 - shingle oak (Quercus imbricaria),`0043 47 Tennessee,0
912,`1943 SPCD 817 - shingle oak (Quercus imbricaria),`0047 51 Virginia,
913,`1953 SPCD 819 - turkey oak (Quercus laevis),`0001 01 Alabama,427752.5017
914,`1953 SPCD 819 - turkey oak (Quercus laevis),`0011 13 Georgia,479558.3671
915,`1953 SPCD 819 - turkey oak (Quercus laevis),`0025 28 Mississippi,
916,`1953 SPCD 819 - turkey oak (Quercus laevis),`0034 37 North Carolina,198957.0518
917,`1953 SPCD 819 - turkey oak (Quercus laevis),`0041 45 South Carolina,1862135.221
918,`1953 SPCD 819 - turkey oak (Quercus laevis),`0047 51 Virginia,
919,`1962 SPCD 820 - laurel oak (Quercus laurifolia),`0001 01 Alabama,7598712.696
920,`1962 SPCD 820 - laurel oak (Quercus laurifolia),`0004 05 Arkansas,17227.05005
921,`1962 SPCD 820 - laurel oak (Quercus laurifolia),`0011 13 Georgia,22431324.19
922,`1962 SPCD 820 - laurel oak (Quercus laurifolia),`0025 28 Mississippi,1974171.844
923,`1962 SPCD 820 - laurel oak (Quercus laurifolia),`0034 37 North Carolina,290587.0083
924,`1962 SPCD 820 - laurel oak (Quercus laurifolia),`0041 45 South Carolina,10453444.81
925,`1962 SPCD 820 - laurel oak (Quercus laurifolia),`0043 47 Tennessee,
926,`1962 SPCD 820 - laurel oak (Quercus laurifolia),`0047 51 Virginia,32408.66591
927,`1981 SPCD 822 - overcup oak (Quercus lyrata),`0001 01 Alabama,1844140.99
928,`1981 SPCD 822 - overcup oak (Quercus lyrata),`0004 05 Arkansas,2897568.145
929,`1981 SPCD 822 - overcup oak (Quercus lyrata),`0011 13 Georgia,603942.4059
930,`1981 SPCD 822 - overcup oak (Quercus lyrata),`0018 21 Kentucky,
931,`1981 SPCD 822 - overcup oak (Quercus lyrata),`0025 28 Mississippi,540657.9936
932,`1981 SPCD 822 - overcup oak (Quercus lyrata),`0034 37 North Carolina,
933,`1981 SPCD 822 - overcup oak (Quercus lyrata),`0037 40 Oklahoma,
934,`1981 SPCD 822 - overcup oak (Quercus lyrata),`0041 45 South Carolina,24290.67562
935,`1981 SPCD 822 - overcup oak (Quercus lyrata),`0043 47 Tennessee,317167.1599
936,`1981 SPCD 822 - overcup oak (Quercus lyrata),`0047 51 Virginia,
937,`1991 SPCD 823 - bur oak (Quercus macrocarpa),`0004 05 Arkansas,
938,`1991 SPCD 823 - bur oak (Quercus macrocarpa),`0018 21 Kentucky,
939,`1991 SPCD 823 - bur oak (Quercus macrocarpa),`0037 40 Oklahoma,37135.55324
940,`1991 SPCD 823 - bur oak (Quercus macrocarpa),`0043 47 Tennessee,
941,`1991 SPCD 823 - bur oak (Quercus macrocarpa),`0047 51 Virginia,
942,`2001 SPCD 824 - blackjack oak (Quercus marilandica),`0001 01 Alabama,119734.9987
943,`2001 SPCD 824 - blackjack oak (Quercus marilandica),`0004 05 Arkansas,10682.61432
944,`2001 SPCD 824 - blackjack oak (Quercus marilandica),`0011 13 Georgia,27496.79162
945,`2001 SPCD 824 - blackjack oak (Quercus marilandica),`0018 21 Kentucky,
946,`2001 SPCD 824 - blackjack oak (Quercus marilandica),`0025 28 Mississippi,23301.09164
947,`2001 SPCD 824 - blackjack oak (Quercus marilandica),`0034 37 North Carolina,486019.2861
948,`2001 SPCD 824 - blackjack oak (Quercus marilandica),`0037 40 Oklahoma,997447.2816
949,`2001 SPCD 824 - blackjack oak (Quercus marilandica),`0041 45 South Carolina,497802.9556
950,`2001 SPCD 824 - blackjack oak (Quercus marilandica),`0043 47 Tennessee,234469.6366
951,`2001 SPCD 824 - blackjack oak (Quercus marilandica),`0047 51 Virginia,
952,`2010 SPCD 825 - swamp chestnut oak (Quercus michauxii),`0001 01 Alabama,1200329.355
953,`2010 SPCD 825 - swamp chestnut oak (Quercus michauxii),`0004 05 Arkansas,2930405.311
954,`2010 SPCD 825 - swamp chestnut oak (Quercus michauxii),`0011 13 Georgia,1206730.744
955,`2010 SPCD 825 - swamp chestnut oak (Quercus michauxii),`0018 21 Kentucky,
956,`2010 SPCD 825 - swamp chestnut oak (Quercus michauxii),`0025 28 Mississippi,1426361.916
957,`2010 SPCD 825 - swamp chestnut oak (Quercus michauxii),`0034 37 North Carolina,1709927.407
958,`2010 SPCD 825 - swamp chestnut oak (Quercus michauxii),`0037 40 Oklahoma,
959,`2010 SPCD 825 - swamp chestnut oak (Quercus michauxii),`0041 45 South Carolina,1653029.253
960,`2010 SPCD 825 - swamp chestnut oak (Quercus michauxii),`0043 47 Tennessee,
961,`2010 SPCD 825 - swamp chestnut oak (Quercus michauxii),`0047 51 Virginia,886982.3477
962,`2021 SPCD 826 - chinkapin oak (Quercus muehlenbergii),`0001 01 Alabama,260420.9732
963,`2021 SPCD 826 - chinkapin oak (Quercus muehlenbergii),`0004 05 Arkansas,0
964,`2021 SPCD 826 - chinkapin oak (Quercus muehlenbergii),`0011 13 Georgia,0
965,`2021 SPCD 826 - chinkapin oak (Quercus muehlenbergii),`0018 21 Kentucky,2730908.7
966,`2021 SPCD 826 - chinkapin oak (Quercus muehlenbergii),`0025 28 Mississippi,
967,`2021 SPCD 826 - chinkapin oak (Quercus muehlenbergii),`0034 37 North Carolina,
968,`2021 SPCD 826 - chinkapin oak (Quercus muehlenbergii),`0037 40 Oklahoma,60028.66777
969,`2021 SPCD 826 - chinkapin oak (Quercus muehlenbergii),`0041 45 South Carolina,
970,`2021 SPCD 826 - chinkapin oak (Quercus muehlenbergii),`0043 47 Tennessee,1502698.229
971,`2021 SPCD 826 - chinkapin oak (Quercus muehlenbergii),`0047 51 Virginia,151713.3715
972,`2029 SPCD 827 - water oak (Quercus nigra),`0001 01 Alabama,32113750.23
973,`2029 SPCD 827 - water oak (Quercus nigra),`0004 05 Arkansas,7270368.378
974,`2029 SPCD 827 - water oak (Quercus nigra),`0011 13 Georgia,29014156.89
975,`2029 SPCD 827 - water oak (Quercus nigra),`0018 21 Kentucky,
976,`2029 SPCD 827 - water oak (Quercus nigra),`0025 28 Mississippi,26008087.54
977,`2029 SPCD 827 - water oak (Quercus nigra),`0034 37 North Carolina,8378462.33
978,`2029 SPCD 827 - water oak (Quercus nigra),`0037 40 Oklahoma,1943976.894
979,`2029 SPCD 827 - water oak (Quercus nigra),`0041 45 South Carolina,19319215.98
980,`2029 SPCD 827 - water oak (Quercus nigra),`0043 47 Tennessee,871382.7261
981,`2029 SPCD 827 - water oak (Quercus nigra),`0047 51 Virginia,657681.9533
982,`2037 SPCD 828 - Nuttall oak (Quercus texana),`0001 01 Alabama,186679.2792
983,`2037 SPCD 828 - Nuttall oak (Quercus texana),`0004 05 Arkansas,586617.4209
984,`2037 SPCD 828 - Nuttall oak (Quercus texana),`0025 28 Mississippi,1235121.969
985,`2037 SPCD 828 - Nuttall oak (Quercus texana),`0043 47 Tennessee,
986,`2052 SPCD 8296 - hardy orange (Poncirus trifoliata),`0011 13 Georgia,
987,`2056 SPCD 830 - pin oak (Quercus palustris),`0004 05 Arkansas,310872.8692
988,`2056 SPCD 830 - pin oak (Quercus palustris),`0018 21 Kentucky,2008563.814
989,`2056 SPCD 830 - pin oak (Quercus palustris),`0037 40 Oklahoma,15669.97613
990,`2056 SPCD 830 - pin oak (Quercus palustris),`0043 47 Tennessee,
991,`2056 SPCD 830 - pin oak (Quercus palustris),`0047 51 Virginia,0
992,`2067 SPCD 831 - willow oak (Quercus phellos),`0001 01 Alabama,5902275.435
993,`2067 SPCD 831 - willow oak (Quercus phellos),`0004 05 Arkansas,9071192.795
994,`2067 SPCD 831 - willow oak (Quercus phellos),`0011 13 Georgia,6384868.305
995,`2067 SPCD 831 - willow oak (Quercus phellos),`0018 21 Kentucky,
996,`2067 SPCD 831 - willow oak (Quercus phellos),`0025 28 Mississippi,3746693.016
997,`2067 SPCD 831 - willow oak (Quercus phellos),`0034 37 North Carolina,2962107.266
998,`2067 SPCD 831 - willow oak (Quercus phellos),`0037 40 Oklahoma,676443.7032
999,`2067 SPCD 831 - willow oak (Quercus phellos),`0041 45 South Carolina,5788172.285
1000,`2067 SPCD 831 - willow oak (Quercus phellos),`0043 47 Tennessee,1310454.75
1001,`2067 SPCD 831 - willow oak (Quercus phellos),`0047 51 Virginia,3776268.531
1002,`2077 SPCD 832 - chestnut oak (Quercus prinus),`0001 01 Alabama,9280025.608
1003,`2077 SPCD 832 - chestnut oak (Quercus prinus),`0011 13 Georgia,1238727.732
1004,`2077 SPCD 832 - chestnut oak (Quercus prinus),`0018 21 Kentucky,20859277.74
1005,`2077 SPCD 832 - chestnut oak (Quercus prinus),`0025 28 Mississippi,
1006,`2077 SPCD 832 - chestnut oak (Quercus prinus),`0034 37 North Carolina,3128982.897
1007,`2077 SPCD 832 - chestnut oak (Quercus prinus),`0041 45 South Carolina,567744.488
1008,`2077 SPCD 832 - chestnut oak (Quercus prinus),`0043 47 Tennessee,24044114.58
1009,`2077 SPCD 832 - chestnut oak (Quercus prinus),`0047 51 Virginia,17988529.76
1010,`2088 SPCD 833 - northern red oak (Quercus rubra),`0001 01 Alabama,3461490.639
1011,`2088 SPCD 833 - northern red oak (Quercus rubra),`0004 05 Arkansas,2050382.001
1012,`2088 SPCD 833 - northern red oak (Quercus rubra),`0011 13 Georgia,278703.0838
1013,`2088 SPCD 833 - northern red oak (Quercus rubra),`0018 21 Kentucky,8915846.612
1014,`2088 SPCD 833 - northern red oak (Quercus rubra),`0025 28 Mississippi,1550861.61
1015,`2088 SPCD 833 - northern red oak (Quercus rubra),`0034 37 North Carolina,4086481.416
1016,`2088 SPCD 833 - northern red oak (Quercus rubra),`0037 40 Oklahoma,120890.6018
1017,`2088 SPCD 833 - northern red oak (Quercus rubra),`0041 45 South Carolina,1011568.558
1018,`2088 SPCD 833 - northern red oak (Quercus rubra),`0043 47 Tennessee,13792925.82
1019,`2088 SPCD 833 - northern red oak (Quercus rubra),`0047 51 Virginia,14643396.37
1020,`2095 SPCD 834 - Shumard oak (Quercus shumardii),`0001 01 Alabama,10968.4498
1021,`2095 SPCD 834 - Shumard oak (Quercus shumardii),`0004 05 Arkansas,377623.1432
1022,`2095 SPCD 834 - Shumard oak (Quercus shumardii),`0011 13 Georgia,0
1023,`2095 SPCD 834 - Shumard oak (Quercus shumardii),`0018 21 Kentucky,645836.5633
1024,`2095 SPCD 834 - Shumard oak (Quercus shumardii),`0025 28 Mississippi,475875.2979
1025,`2095 SPCD 834 - Shumard oak (Quercus shumardii),`0034 37 North Carolina,
1026,`2095 SPCD 834 - Shumard oak (Quercus shumardii),`0037 40 Oklahoma,59741.43007
1027,`2095 SPCD 834 - Shumard oak (Quercus shumardii),`0041 45 South Carolina,
1028,`2095 SPCD 834 - Shumard oak (Quercus shumardii),`0043 47 Tennessee,17162.69598
1029,`2095 SPCD 834 - Shumard oak (Quercus shumardii),`0047 51 Virginia,58897.82903
1030,`2105 SPCD 835 - post oak (Quercus stellata),`0001 01 Alabama,3763567.606
1031,`2105 SPCD 835 - post oak (Quercus stellata),`0004 05 Arkansas,7935886.278
1032,`2105 SPCD 835 - post oak (Quercus stellata),`0011 13 Georgia,3426507.446
1033,`2105 SPCD 835 - post oak (Quercus stellata),`0018 21 Kentucky,1842195.069
1034,`2105 SPCD 835 - post oak (Quercus stellata),`0025 28 Mississippi,3231367.304
1035,`2105 SPCD 835 - post oak (Quercus stellata),`0034 37 North Carolina,3134716.545
1036,`2105 SPCD 835 - post oak (Quercus stellata),`0037 40 Oklahoma,8220591.781
1037,`2105 SPCD 835 - post oak (Quercus stellata),`0041 45 South Carolina,2389227.175
1038,`2105 SPCD 835 - post oak (Quercus stellata),`0043 47 Tennessee,3136504.111
1039,`2105 SPCD 835 - post oak (Quercus stellata),`0047 51 Virginia,1299207.235
1040,`2115 SPCD 836 - Delta post oak (Quercus similis),`0001 01 Alabama,
1041,`2115 SPCD 836 - Delta post oak (Quercus similis),`0025 28 Mississippi,
1042,`2115 SPCD 836 - Delta post oak (Quercus similis),`0043 47 Tennessee,
1043,`2125 SPCD 837 - black oak (Quercus velutina),`0001 01 Alabama,2632390.766
1044,`2125 SPCD 837 - black oak (Quercus velutina),`0004 05 Arkansas,4182131.464
1045,`2125 SPCD 837 - black oak (Quercus velutina),`0011 13 Georgia,1320843.596
1046,`2125 SPCD 837 - black oak (Quercus velutina),`0018 21 Kentucky,15055446.8
1047,`2125 SPCD 837 - black oak (Quercus velutina),`0025 28 Mississippi,660397.2451
1048,`2125 SPCD 837 - black oak (Quercus velutina),`0034 37 North Carolina,2070565.266
1049,`2125 SPCD 837 - black oak (Quercus velutina),`0037 40 Oklahoma,739013.7303
1050,`2125 SPCD 837 - black oak (Quercus velutina),`0041 45 South Carolina,107536.1458
1051,`2125 SPCD 837 - black oak (Quercus velutina),`0043 47 Tennessee,12389977.9
1052,`2125 SPCD 837 - black oak (Quercus velutina),`0047 51 Virginia,12494666.74
1053,`2129 SPCD 838 - live oak (Quercus virginiana),`0001 01 Alabama,37947.77375
1054,`2129 SPCD 838 - live oak (Quercus virginiana),`0011 13 Georgia,927791.831
1055,`2129 SPCD 838 - live oak (Quercus virginiana),`0025 28 Mississippi,
1056,`2129 SPCD 838 - live oak (Quercus virginiana),`0034 37 North Carolina,
1057,`2129 SPCD 838 - live oak (Quercus virginiana),`0041 45 South Carolina,1719277.842
1058,`2145 SPCD 840 - dwarf post oak (Quercus margarettiae),`0001 01 Alabama,
1059,`2145 SPCD 840 - dwarf post oak (Quercus margarettiae),`0011 13 Georgia,311312.191
1060,`2145 SPCD 840 - dwarf post oak (Quercus margarettiae),`0034 37 North Carolina,19684.37815
1061,`2145 SPCD 840 - dwarf post oak (Quercus margarettiae),`0037 40 Oklahoma,
1062,`2145 SPCD 840 - dwarf post oak (Quercus margarettiae),`0041 45 South Carolina,222981.4777
1063,`2156 SPCD 841 - dwarf live oak (Quercus minima),`0001 01 Alabama,0
1064,`2165 SPCD 842 - bluejack oak (Quercus incana),`0001 01 Alabama,26545.45432
1065,`2165 SPCD 842 - bluejack oak (Quercus incana),`0011 13 Georgia,37328.73769
1066,`2165 SPCD 842 - bluejack oak (Quercus incana),`0025 28 Mississippi,
1067,`2165 SPCD 842 - bluejack oak (Quercus incana),`0034 37 North Carolina,11935.31015
1068,`2165 SPCD 842 - bluejack oak (Quercus incana),`0041 45 South Carolina,107380.0946
1069,`2166 SPCD 8420 - pear spp. (Pyrus spp.),`0001 01 Alabama,
1070,`2166 SPCD 8420 - pear spp. (Pyrus spp.),`0004 05 Arkansas,
1071,`2167 SPCD 8421 - Callery pear (Pyrus calleryana),`0001 01 Alabama,
1072,`2167 SPCD 8421 - Callery pear (Pyrus calleryana),`0004 05 Arkansas,
1073,`2167 SPCD 8421 - Callery pear (Pyrus calleryana),`0011 13 Georgia,
1074,`2167 SPCD 8421 - Callery pear (Pyrus calleryana),`0018 21 Kentucky,
1075,`2167 SPCD 8421 - Callery pear (Pyrus calleryana),`0025 28 Mississippi,
1076,`2167 SPCD 8421 - Callery pear (Pyrus calleryana),`0034 37 North Carolina,
1077,`2167 SPCD 8421 - Callery pear (Pyrus calleryana),`0037 40 Oklahoma,
1078,`2167 SPCD 8421 - Callery pear (Pyrus calleryana),`0041 45 South Carolina,
1079,`2167 SPCD 8421 - Callery pear (Pyrus calleryana),`0043 47 Tennessee,
1080,`2167 SPCD 8421 - Callery pear (Pyrus calleryana),`0047 51 Virginia,
1081,`2169 SPCD 8423 - common pear (Pyrus communis),`0011 13 Georgia,
1082,`2169 SPCD 8423 - common pear (Pyrus communis),`0041 45 South Carolina,
1083,`2173 SPCD 8427 - sawtooth oak (Quercus acutissima),`0001 01 Alabama,
1084,`2173 SPCD 8427 - sawtooth oak (Quercus acutissima),`0004 05 Arkansas,
1085,`2173 SPCD 8427 - sawtooth oak (Quercus acutissima),`0025 28 Mississippi,
1086,`2173 SPCD 8427 - sawtooth oak (Quercus acutissima),`0034 37 North Carolina,
1087,`2173 SPCD 8427 - sawtooth oak (Quercus acutissima),`0041 45 South Carolina,
1088,`2173 SPCD 8427 - sawtooth oak (Quercus acutissima),`0047 51 Virginia,
1089,`2186 SPCD 844 - Oglethorpe oak (Quercus oglethorpensis),`0011 13 Georgia,
1090,`2188 SPCD 8441 - sand live oak (Quercus geminata),`0011 13 Georgia,
1091,`2194 SPCD 8449 - Darlington oak (Quercus hemisphaerica),`0011 13 Georgia,
1092,`2194 SPCD 8449 - Darlington oak (Quercus hemisphaerica),`0041 45 South Carolina,
1093,`2303 SPCD 858 - camphortree (Cinnamomum camphora),`0001 01 Alabama,
1094,`2303 SPCD 858 - camphortree (Cinnamomum camphora),`0011 13 Georgia,
1095,`2411 SPCD 870 - Texas sophora (Sophora affinis),`0037 40 Oklahoma,
1096,`2541 SPCD 8860 - farkleberry (Vaccinium arboreum),`0011 13 Georgia,
1097,`2541 SPCD 8860 - farkleberry (Vaccinium arboreum),`0037 40 Oklahoma,
1098,`2541 SPCD 8860 - farkleberry (Vaccinium arboreum),`0041 45 South Carolina,
1099,`2541 SPCD 8860 - farkleberry (Vaccinium arboreum),`0043 47 Tennessee,
1100,`2617 SPCD 8944 - Hercules' club (Zanthoxylum clava-herculis),`0001 01 Alabama,
1101,`2617 SPCD 8944 - Hercules' club (Zanthoxylum clava-herculis),`0004 05 Arkansas,
1102,`2617 SPCD 8944 - Hercules' club (Zanthoxylum clava-herculis),`0037 40 Oklahoma,
1103,`2622 SPCD 901 - black locust (Robinia pseudoacacia),`0001 01 Alabama,11011.11805
1104,`2622 SPCD 901 - black locust (Robinia pseudoacacia),`0004 05 Arkansas,41903.80229
1105,`2622 SPCD 901 - black locust (Robinia pseudoacacia),`0011 13 Georgia,
1106,`2622 SPCD 901 - black locust (Robinia pseudoacacia),`0018 21 Kentucky,699755.8609
1107,`2622 SPCD 901 - black locust (Robinia pseudoacacia),`0025 28 Mississippi,69397.35035
1108,`2622 SPCD 901 - black locust (Robinia pseudoacacia),`0034 37 North Carolina,417597.1648
1109,`2622 SPCD 901 - black locust (Robinia pseudoacacia),`0037 40 Oklahoma,0
1110,`2622 SPCD 901 - black locust (Robinia pseudoacacia),`0041 45 South Carolina,
1111,`2622 SPCD 901 - black locust (Robinia pseudoacacia),`0043 47 Tennessee,372599.4151
1112,`2622 SPCD 901 - black locust (Robinia pseudoacacia),`0047 51 Virginia,1104646.641
1113,`2629 SPCD 912 - cabbage palmetto (Sabal palmetto),`0011 13 Georgia,82745.84731
1114,`2629 SPCD 912 - cabbage palmetto (Sabal palmetto),`0041 45 South Carolina,
1115,`2633 SPCD 919 - western soapberry (Sapindus saponaria),`0037 40 Oklahoma,140993.9769
1116,`2634 SPCD 920 - willow spp. (Salix spp.),`0001 01 Alabama,
1117,`2636 SPCD 922 - black willow (Salix nigra),`0001 01 Alabama,204399.751
1118,`2636 SPCD 922 - black willow (Salix nigra),`0004 05 Arkansas,92023.81426
1119,`2636 SPCD 922 - black willow (Salix nigra),`0011 13 Georgia,127672.9644
1120,`2636 SPCD 922 - black willow (Salix nigra),`0018 21 Kentucky,0
1121,`2636 SPCD 922 - black willow (Salix nigra),`0025 28 Mississippi,766719.9941
1122,`2636 SPCD 922 - black willow (Salix nigra),`0034 37 North Carolina,9938.977961
1123,`2636 SPCD 922 - black willow (Salix nigra),`0037 40 Oklahoma,0
1124,`2636 SPCD 922 - black willow (Salix nigra),`0041 45 South Carolina,50176.8889
1125,`2636 SPCD 922 - black willow (Salix nigra),`0043 47 Tennessee,0
1126,`2636 SPCD 922 - black willow (Salix nigra),`0047 51 Virginia,10251.28685
1127,`2641 SPCD 927 - white willow (Salix alba),`0047 51 Virginia,
1128,`2643 SPCD 929 - weeping willow (Salix x sepulcralis),`0047 51 Virginia,
1129,`2644 SPCD 931 - sassafras (Sassafras albidum),`0001 01 Alabama,83633.6505
1130,`2644 SPCD 931 - sassafras (Sassafras albidum),`0004 05 Arkansas,363960.6428
1131,`2644 SPCD 931 - sassafras (Sassafras albidum),`0011 13 Georgia,46982.27912
1132,`2644 SPCD 931 - sassafras (Sassafras albidum),`0018 21 Kentucky,1403698.841
1133,`2644 SPCD 931 - sassafras (Sassafras albidum),`0025 28 Mississippi,307688.9164
1134,`2644 SPCD 931 - sassafras (Sassafras albidum),`0034 37 North Carolina,0
1135,`2644 SPCD 931 - sassafras (Sassafras albidum),`0037 40 Oklahoma,0
1136,`2644 SPCD 931 - sassafras (Sassafras albidum),`0041 45 South Carolina,95839.34107
1137,`2644 SPCD 931 - sassafras (Sassafras albidum),`0043 47 Tennessee,1380174.718
1138,`2644 SPCD 931 - sassafras (Sassafras albidum),`0047 51 Virginia,213173.8253
1139,`2646 SPCD 935 - American mountain-ash (Sorbus americana),`0034 37 North Carolina,
1140,`2646 SPCD 935 - American mountain-ash (Sorbus americana),`0043 47 Tennessee,
1141,`2646 SPCD 935 - American mountain-ash (Sorbus americana),`0047 51 Virginia,
1142,`2651 SPCD 951 - American basswood (Tilia americana),`0001 01 Alabama,
1143,`2651 SPCD 951 - American basswood (Tilia americana),`0004 05 Arkansas,
1144,`2651 SPCD 951 - American basswood (Tilia americana),`0011 13 Georgia,
1145,`2651 SPCD 951 - American basswood (Tilia americana),`0018 21 Kentucky,793453.9207
1146,`2651 SPCD 951 - American basswood (Tilia americana),`0025 28 Mississippi,
1147,`2651 SPCD 951 - American basswood (Tilia americana),`0034 37 North Carolina,719184.1171
1148,`2651 SPCD 951 - American basswood (Tilia americana),`0037 40 Oklahoma,
