stateAbbr,statecd,unitcd,priceRegion,spcd,spgrpcd,species,spclass,sizerange,product,volume,value
MI,26,01,02,125,4,red pine,Coniferous,07.0-08.9,Pulpwood,2011578044.3829486,1103241201.3193705
MI,26,01,02,125,4,red pine,Coniferous,09.0-10.9,Pulpwood,2478093788.5015006,1359099725.6321218
MI,26,01,02,125,4,red pine,Coniferous,11.0-12.9,Pulpwood,3248854703.282229,1781820186.280989
MI,26,01,02,125,4,red pine,Coniferous,13.0-14.9,Sawtimber,3191018603.912007,53119475488.101456
MI,26,01,02,125,4,red pine,Coniferous,15.0-16.9,Sawtimber,2571484674.639917,42806368153.136055
MI,26,01,02,125,4,red pine,Coniferous,17.0-18.9,Sawtimber,1949992874.466176,32460669007.128998
MI,26,01,02,125,4,red pine,Coniferous,19.0-20.9,Sawtimber,989510519.8746865,16471944018.522354
MI,26,01,02,125,4,red pine,Coniferous,21.0-22.9,Sawtimber,54847690.3245752,913025244.7301594
MI,26,01,02,125,4,red pine,Coniferous,23.0-24.9,Sawtimber,55443392.6278502,922941637.5265626
MI,26,01,02,125,4,red pine,Coniferous,25.0-26.9,Sawtimber,68635487.8114664,1142544611.9133976
MI,26,01,02,125,4,red pine,Coniferous,27.0-28.9,Sawtimber,0.0,0.0
MI,26,01,02,129,4,eastern white pine,Coniferous,05.0-06.9,Pulpwood,640792597.7947644,0.0
MI,26,01,02,129,4,eastern white pine,Coniferous,07.0-08.9,Pulpwood,868589150.8899469,0.0
MI,26,01,02,129,4,eastern white pine,Coniferous,09.0-10.9,Pulpwood,1030657556.9590495,0.0
MI,26,01,02,129,4,eastern white pine,Coniferous,11.0-12.9,Pulpwood,1470367807.0638733,0.0
MI,26,01,02,129,4,eastern white pine,Coniferous,13.0-14.9,Sawtimber,1489284070.7803302,13261438922.831642
MI,26,01,02,129,4,eastern white pine,Coniferous,15.0-16.9,Sawtimber,1615233270.32355,14382962781.10187
MI,26,01,02,129,4,eastern white pine,Coniferous,17.0-18.9,Sawtimber,1541295080.4741836,13724574762.328297
MI,26,01,02,129,4,eastern white pine,Coniferous,19.0-20.9,Sawtimber,1670894370.5527139,14878601118.709217
MI,26,01,02,129,4,eastern white pine,Coniferous,21.0-22.9,Sawtimber,1351959809.907342,12038624999.067633
MI,26,01,02,129,4,eastern white pine,Coniferous,23.0-24.9,Sawtimber,837839720.078316,7460605060.469903
MI,26,01,02,129,4,eastern white pine,Coniferous,25.0-26.9,Sawtimber,440215696.2934211,3919932861.571645
MI,26,01,02,129,4,eastern white pine,Coniferous,27.0-28.9,Sawtimber,925714897.0141981,8243095999.997392
MI,26,01,02,130,3,Scotch pine,Coniferous,05.0-06.9,Pulpwood,41498159.28513103,8482446.224259809
MI,26,01,02,130,3,Scotch pine,Coniferous,07.0-08.9,Pulpwood,139579759.562386,28530851.12397449
MI,26,01,02,130,3,Scotch pine,Coniferous,09.0-10.9,Pulpwood,128107007.67629,26185759.13448585
MI,26,01,02,130,3,Scotch pine,Coniferous,11.0-12.9,Pulpwood,14871595.4304251,3039833.8307195236
MI,26,01,02,130,3,Scotch pine,Coniferous,13.0-14.9,Sawtimber,0.0,0.0
MI,26,01,02,130,3,Scotch pine,Coniferous,15.0-16.9,Sawtimber,0.0,0.0
MI,26,01,02,130,3,Scotch pine,Coniferous,17.0-18.9,Sawtimber,0.0,0.0
MI,26,01,02,130,3,Scotch pine,Coniferous,19.0-20.9,Sawtimber,0.0,0.0
MI,26,01,02,130,3,Scotch pine,Coniferous,21.0-22.9,Sawtimber,0.0,0.0
MI,26,01,02,130,3,Scotch pine,Coniferous,23.0-24.9,Sawtimber,0.0,0.0
MI,26,01,02,130,3,Scotch pine,Coniferous,25.0-26.9,Sawtimber,0.0,0.0
MI,26,01,02,130,3,Scotch pine,Coniferous,27.0-28.9,Sawtimber,0.0,0.0
MI,26,01,02,313,41,boxelder,Non-coniferous,05.0-06.9,Pulpwood,0.0,0.0
MI,26,01,02,313,41,boxelder,Non-coniferous,07.0-08.9,Pulpwood,0.0,0.0
MI,26,01,02,313,41,boxelder,Non-coniferous,09.0-10.9,Pulpwood,0.0,0.0
MI,26,01,02,313,41,boxelder,Non-coniferous,11.0-12.9,Pulpwood,17951519.2510676,0.0
MI,26,01,02,313,41,boxelder,Non-coniferous,13.0-14.9,Sawtimber,0.0,0.0
MI,26,01,02,313,41,boxelder,Non-coniferous,15.0-16.9,Sawtimber,0.0,0.0
