"fips","intensive_impact","lower_conf","upper_conf","ccimpact","acres","volume","lower_avalue","upper_avalue","avalue"
"01001",-2.45584205874803,1.50733965592033,4.64163022389916,3.0680875764077,329470.754472742,379492314.967505,3.96318171466836,7.09747228264718,5.52392963515573
"01005",-3.66698451661117,0.42703139008475,3.5805908536563,1.98754760785306,463978.513794228,598300220.035215,4.09401590669592,7.24757537026747,5.65453212446423
"01007",0.773744607306285,3.76385242107629,7.4072063920286,5.5914716777604,335354.947236406,506814953.00224,2.99010781377,6.63346178472231,4.81772707045412
"01009",2.84298547731625,6.32624816016496,11.3028093574223,8.8651021340497,277576.479981867,400636528.810187,3.48326268284871,8.45982388010609,6.02211665673345
"01011",-2.34526840811607,2.17659527491494,5.24411698719963,3.69804612463972,370697.015662748,478567186.60805,4.52186368303101,7.5893853953157,6.04331453275579
"01013",-3.90678407497873,0.222935035821592,3.89186224701795,2.05876446084861,481159.264231326,642828685.924896,4.12971911080033,7.79864632199669,5.96554853582735
"01015",4.27519787956844,6.01102413483183,11.1552615342169,8.62455066292596,195699.144803331,252237814.204131,1.73582625526339,6.88006365464848,4.34935278335752
"01017",-0.308355530896417,4.52105628080421,9.11138408958178,6.84107979423293,343112.924481261,454622560.333625,4.82941181170063,9.4197396204782,7.14943532512935
"01019",4.29273325914787,6.91687430454355,12.4707286159298,9.74669200612047,314740.700571677,413822091.083171,2.62414104539568,8.17799535678188,5.45395874697259
"01021",0.141964866428901,3.67674127101031,7.26725382456621,5.47617427084266,355286.990037252,383322704.461065,3.53477640458141,7.12528895813731,5.33420940441375
"01023",-3.20577391850193,1.55892883925092,4.57309638267579,3.06474074396721,600502.33143229,978583655.678166,4.76470275775285,7.77887030117771,6.27051466246914
"01025",-3.95598318839637,0.252096925614978,3.6983441929313,1.96208877316812,820301.298266132,1234135877.16602,4.20808011401135,7.65432738132767,5.91807196156449
"01027",3.72160162889126,6.06824756357265,10.9043474511073,8.53473860573781,310651.807125543,364304240.907464,2.34664593468139,7.18274582221608,4.81313697684655
"01029",4.08941360064898,6.79328623916224,12.2598250661893,9.57995562455725,237232.676091535,352667650.179861,2.70387263851326,8.17041146554032,5.49054202390827
"01031",-2.67430008772743,-1.74951437758883,2.76070117930534,0.472703950181717,333160.169828923,390097918.866788,0.924785710138604,5.43500126703278,3.14700403790915
"01033",3.00094173105377,7.18633253581847,12.4343366400587,9.85370845781605,252307.805576919,326965745.85626,4.1853908047647,9.43339490900489,6.85276672676228
"01035",-3.20329831000722,-0.592100677207725,3.51738961311057,1.47961178734094,571833.83291728,735792267.982436,2.61119763279949,6.72068792311778,4.68291009734815
"01037",0.516601610293183,4.10631630864596,7.96703048188314,6.04783776676338,436966.789835678,525858441.110302,3.58971469835278,7.45042887158996,5.5312361564702
"01041",-2.00834068919295,0.468816757007431,3.89630707876955,2.17289824462139,390302.245161486,600488233.702171,2.47715744620038,5.90464776796249,4.18123893381434
"01043",3.41298259238504,6.96283695419316,11.8513757514748,9.4377652822286,284799.151398137,423602952.773436,3.54985436180813,8.43839315908976,6.02478268984356
"01045",-2.70527320414945,-2.68157511796548,2.18183242495103,-0.290269877545533,274028.36297007,372688578.340492,0.0236980861839702,4.88710562910047,2.41500332660392
"01047",-1.8761345904653,1.70296703623037,4.69430970980741,3.19051326838824,474157.718628047,583746910.828193,3.57910162669567,6.57044430027272,5.06664785885355
"01049",6.17234848444033,8.46914415288824,13.8386120086116,11.1859359311643,241731.281332939,348904370.032504,2.2967956684479,7.66626352417127,5.01358744672394
"01051",-0.912804149576657,2.40091019784062,5.6368881836957,4.00884738624828,313226.18883345,416776239.716843,3.31371434741727,6.54969233327236,4.92165153582493
"01055",2.99638227678525,6.28997414581402,11.538224442163,8.96712701343378,256205.165421422,371180870.335396,3.29359186902877,8.54184216537773,5.97074473664853
"01057",2.20481086061497,6.06020175966412,10.7598097332077,8.44188502477201,364373.849682201,494883235.607252,3.85539089904914,8.55499887259276,6.23707416415704
"01059",4.04728132962645,7.35402360608568,12.3195551860109,9.85583253733031,352605.67938944,420332448.678432,3.30674227645923,8.27227385638443,5.80855120770387
"01063",-0.759088896188893,3.00349482716138,6.2605293789608,4.64617922950525,367047.356089115,560365299.621711,3.76258372335028,7.01961827514969,5.40526812569414
"01065",-1.00319156854729,2.39886262237407,5.45818575904364,3.92791028938866,345899.913336262,477467495.256063,3.40205419092136,6.46137732759093,4.93110185793596
"01067",-5.20113342568899,-2.51812660685654,2.09304541344265,-0.254500771901235,301975.45021151,341928663.518709,2.68300681883245,7.29417883913164,4.94663265378776
"01071",3.8320106825928,8.41005935798377,13.5746605599303,11.0253877922423,479069.299999541,805484132.544332,4.57804867539097,9.74264987733753,7.19337710964952
"01073",1.55790146548424,4.5384388693839,8.52459420561179,6.53008864880231,445145.142332717,654820765.042893,2.98053740389965,6.96669274012755,4.97218718331806
"01075",2.01713468954242,5.91322907358142,10.4231452351714,8.18789056058226,383191.541483691,514131961.150024,3.896094384039,8.40601054562901,6.17075587103984
"01077",3.31307587840565,7.48651841206208,12.920845614593,10.2522007907259,202929.588005204,276472150.321351,4.17344253365643,9.60776973618736,6.93912491232027
"01079",3.53882240194418,7.02285161083105,11.9307596525563,9.50396343064568,189386.530527827,247581722.724991,3.48402920888688,8.39193725061212,5.9651410287015
"01081",-0.834308060688601,3.14738127911382,6.72746869022471,4.94308266461904,299539.837681258,413440298.208449,3.98168933980242,7.56177675091331,5.77739072530764
